,date,assets
0,0,1064999.3386361264
1,20170104,1040391.7531128749
2,20170105,1058612.014069248
3,20170106,1056788.3665626973
4,20170109,992315.4905997944
5,20170110,950384.6171913418
6,20170111,999460.1921040528
7,20170112,1028180.4043985091
8,20170113,1007981.8371308665
9,20170117,1007523.4762303331
10,20170118,963570.8283748941
11,20170119,964929.8808787594
12,20170120,999811.2366269309
13,20170123,987581.0703459125
14,20170124,996186.5793112753
15,20170125,988487.4263062829
16,20170126,1023809.3600673747
17,20170127,1000622.656259325
18,20170130,981920.6767151057
19,20170131,987312.5289380474
20,20170201,1014421.516966677
21,20170202,1021219.0639621563
22,20170203,1024392.4674599691
23,20170206,998553.3502775165
24,20170207,965464.0822380787
25,20170208,970449.6007896215
26,20170209,989483.7815625122
27,20170210,1018938.8983475803
28,20170213,986767.49192252
29,20170214,994922.7975168091
30,20170215,988580.185683933
31,20170216,996734.0573926383
32,20170217,994469.1811147736
33,20170221,1015756.2411024417
34,20170222,989383.4539734286
35,20170223,1015366.3111083485
36,20170224,1005048.7949021872
37,20170227,1008216.8443745641
38,20170228,1007758.8612683432
39,20170301,1000057.6543241073
40,20170302,960073.8176265655
41,20170303,979225.0292803939
42,20170306,980115.1982477205
43,20170307,976041.2595681787
44,20170308,876651.3514806854
45,20170309,854768.6761427814
46,20170310,814612.5070181164
47,20170313,811445.967471122
48,20170314,798772.2385956654
49,20170315,825463.7582801981
50,20170316,825011.2474579263
51,20170317,821846.0597330945
52,20170320,810048.1647290125
53,20170321,786507.0910500064
54,20170322,785601.7690985843
55,20170323,770671.9434094467
56,20170324,781978.6731079704
57,20170327,772900.0082801507
58,20170328,791093.9869528039
59,20170329,824408.2757804677
60,20170330,856040.9382060114
61,20170331,867829.9317497031
62,20170403,853318.0800660512
