,date,assets
0,0,1000000.0
1,20160105,1000017.8599343
2,20160106,999829.8382948999
3,20160107,999308.878148
4,20160108,999362.6618060999
5,20160111,999344.1490249999
6,20160112,999602.8617889
7,20160113,998867.9279364999
8,20160114,999939.1496848
9,20160115,998188.6280397999
10,20160119,997790.5378572999
11,20160120,998017.3806172999
12,20160121,997672.3873346999
13,20160122,999820.5753142999
14,20160125,999175.3443934
15,20160126,999692.1140187
16,20160127,998296.6656768
17,20160128,999598.4719521
18,20160129,1004583.7048749
19,20160201,1003918.0744757
20,20160202,1000784.0629444
21,20160203,999165.2735634
22,20160204,998838.4719367
23,20160205,994961.7724477001
24,20160208,993310.2768040001
25,20160209,993008.4311814001
26,20160210,994026.8170518001
27,20160211,993972.8616801001
28,20160212,996043.3730383001
29,20160216,998577.4474873
30,20160217,1002249.4765951001
31,20160218,1001587.6166450001
32,20160219,1000491.7545894
33,20160222,1003010.9613292001
34,20160223,998400.5002847001
35,20160224,998976.3185993001
36,20160225,1001426.4510272001
37,20160226,998693.9915644001
38,20160229,997218.6149221001
39,20160301,1003323.4011811002
40,20160302,1004682.3559869002
41,20160303,1002410.6112977002
42,20160304,1001167.2912979003
43,20160307,997200.1069861002
44,20160308,999709.2258229002
45,20160309,1004639.0808274002
46,20160310,1001285.4944738002
47,20160311,1005698.2798184002
48,20160314,1006135.7190719002
49,20160315,1008027.2371102001
50,20160316,1011523.9788461002
51,20160317,1012975.8161484002
52,20160318,1007364.4512851002
53,20160321,1009166.5784358003
54,20160322,1010206.5800911002
55,20160323,1009694.7835952002
56,20160324,1010928.3119141003
57,20160328,1007404.0852169003
58,20160329,1013652.4099606003
59,20160330,1015495.9151895002
60,20160331,1016485.9963871003
61,20160401,1018392.1589988002
62,20160404,1017587.1824785003
63,20160405,1012531.3835591003
64,20160406,1015828.8967094002
65,20160407,1011870.7124575003
66,20160408,1011622.3850226004
67,20160411,1010938.2314742003
68,20160412,1013063.7008622002
69,20160413,1017509.3788197003
70,20160414,1017568.8183741003
71,20160415,1019461.1068065003
72,20160418,1024830.0803151003
73,20160419,1024353.9837834002
74,20160420,1018893.6333023002
75,20160421,1020201.6332395002
76,20160422,992183.1743684001
77,20160425,994519.8881936001
78,20160426,989699.4131099002
79,20160427,986054.7795656002
80,20160428,978383.2774959002
81,20160429,978154.7223613003
82,20160502,983741.8298916003
83,20160503,977388.9361304004
84,20160504,978080.9777539005
85,20160505,978624.6832842005
86,20160506,982186.2691639003
87,20160509,979616.2741763004
88,20160510,987315.2858755004
89,20160511,987556.5893335005
90,20160512,991366.8141274004
91,20160513,987756.3563332005
92,20160516,994109.9533622004
93,20160517,985820.4489792006
94,20160518,988432.5433793005
95,20160519,984108.2830413005
96,20160520,986776.0424722005
97,20160523,981460.9250653007
98,20160524,995642.5862050005
99,20160525,1000506.5595865005
100,20160526,998367.4831886005
101,20160527,1002392.6994331004
102,20160531,1008824.0954763005
103,20160601,1007385.3556190005
104,20160602,1003809.9338823005
105,20160603,997081.9875775005
106,20160606,1000421.6620020005
107,20160607,1000118.9366748005
108,20160608,999512.6501316004
109,20160609,995259.6878574005
110,20160610,993825.9428569004
111,20160613,980018.9929469004
112,20160614,976792.6490808005
113,20160615,975320.0082798004
114,20160616,982720.3243701006
115,20160617,979941.1470049005
116,20160620,979290.6652658004
117,20160621,991445.6301942004
118,20160622,989251.0714943004
119,20160623,999405.2628521004
120,20160624,976239.2099408004
121,20160627,960515.3429398005
122,20160628,971944.8231499004
123,20160629,984495.2390389005
124,20160630,991739.5768547006
125,20160701,991618.8661106004
126,20160705,991731.0089942005
127,20160706,994201.1097501005
128,20160707,994196.3420190006
129,20160708,1005204.2397879005
130,20160711,1008697.7906873005
131,20160712,1016229.6157759005
132,20160713,1019899.2150324006
133,20160714,1022732.8420515005
134,20160715,1022230.5411278005
135,20160718,1025482.5276154005
136,20160719,1014498.2268773005
137,20160720,1050343.1316693004
138,20160721,1048929.3775837005
139,20160722,1058855.9582051004
140,20160725,1060929.0508750007
141,20160726,1061316.3870996004
142,20160727,1053800.4561398004
143,20160728,1054060.6357720005
144,20160729,1060335.6486483004
145,20160801,1058984.9486119004
146,20160802,1058979.6983544005
147,20160803,1064294.3192969004
148,20160804,1070057.0220498005
149,20160805,1077932.5897298004
150,20160808,1079319.1064179004
151,20160809,1081275.4051267006
152,20160810,1078731.2549442006
153,20160811,1082701.1017640005
154,20160812,1077551.2295019007
155,20160815,1080134.7560454006
156,20160816,1075468.1140863006
157,20160817,1077221.9358070006
158,20160818,1077806.8019227006
159,20160819,1078098.2608027004
160,20160822,1078839.8247158008
161,20160823,1082141.7341605006
162,20160824,1083043.8852630006
163,20160825,1086386.7225633005
164,20160826,1084237.5159222006
165,20160829,1085310.5540529005
166,20160830,1082050.2177475006
167,20160831,1075339.8125500004
168,20160901,1077373.6314022003
169,20160902,1078630.5996164007
170,20160906,1077672.9598611007
171,20160907,1078465.7574073006
172,20160908,1074766.5703858004
173,20160909,1055054.1898399005
174,20160912,1068696.2660074006
175,20160913,1060194.0066420005
176,20160914,1055751.6803305007
177,20160915,1071116.2930295006
178,20160916,1072108.3048931006
179,20160919,1066754.6899536005
180,20160920,1064732.3482927007
181,20160921,1080782.3773375005
182,20160922,1081796.7301788006
183,20160923,1075127.2400171005
184,20160926,1066016.4904712006
185,20160927,1084148.5036111006
186,20160928,1085532.4383114008
187,20160929,1074527.0441421005
188,20160930,1078032.4153962007
189,20161003,1074850.4763762006
190,20161004,1071651.7469634009
191,20161005,1078780.0613578006
192,20161006,1080567.4218032009
193,20161007,1081643.1972114004
194,20161010,1085985.3015177005
195,20161011,1070662.0319142006
196,20161012,1069207.6865778004
197,20161013,1065778.5534105005
198,20161014,1074830.2062831006
199,20161017,1071220.6663703006
200,20161018,1079185.4644320009
201,20161019,1076837.3694105009
202,20161020,1071760.1393274006
203,20161021,1115184.7924879007
204,20161024,1139452.2497225003
205,20161025,1139266.2341384008
206,20161026,1132739.3651886005
207,20161027,1123182.7902531005
208,20161028,1119010.9122042004
209,20161031,1119906.3425309006
210,20161101,1117727.210489101
211,20161102,1111053.8242511007
212,20161103,1107063.1659613007
213,20161104,1098047.2973133007
214,20161107,1129016.9418510008
215,20161108,1129912.3787231005
216,20161109,1124472.4045264006
217,20161110,1097976.4748417006
218,20161111,1103767.4423125007
219,20161114,1087543.1572047006
220,20161115,1108327.5464320006
221,20161116,1122473.0619953005
222,20161117,1140521.4633371006
223,20161118,1135254.6023170007
224,20161121,1144549.4638568007
225,20161122,1149260.6628557006
226,20161123,1136124.8422146006
227,20161125,1138477.6244543009
228,20161128,1139930.7950740005
229,20161129,1148633.5277738005
230,20161130,1133491.4395522007
231,20161201,1114254.6952530006
232,20161202,1115160.9496967006
233,20161205,1132753.7183403007
234,20161206,1127824.259900801
235,20161207,1153580.8820417007
236,20161208,1147009.8814994006
237,20161209,1164421.1611985003
238,20161212,1168062.5164540005
239,20161213,1182752.1169096008
240,20161214,1177275.2802230006
241,20161215,1175455.0916370007
242,20161216,1170342.9155515004
243,20161219,1194285.1553871008
244,20161220,1192820.3143393009
245,20161221,1192814.3414114008
246,20161222,1192990.9224835006
247,20161223,1187360.6970146007
248,20161227,1188084.0758869005
249,20161228,1182816.9087998006
250,20161229,1181169.7669729006
251,20161230,1167375.3359059005
252,20170103,1175393.6449820006
253,20170104,1170307.7899965006
254,20170105,1170301.9336321005
255,20170106,1180093.1046677006
256,20170109,1176439.861741501
257,20170110,1176071.0176160005
258,20170111,1186459.9615711009
259,20170112,1175931.3527446007
260,20170113,1177566.9788397006
261,20170117,1174476.6939734006
262,20170118,1173923.7747884006
263,20170119,1170289.3452232005
264,20170120,1178307.5810588005
265,20170123,1182293.1935331007
266,20170124,1192499.6873260008
267,20170125,1195396.3204776007
268,20170126,1206149.9429898006
269,20170127,1233539.1127401006
270,20170130,1221679.083046301
271,20170131,1212964.7620548005
272,20170201,1193445.6021835005
273,20170202,1186001.1352951005
274,20170203,1195295.7123481005
275,20170206,1194564.1620603006
276,20170207,1190728.4257319006
277,20170208,1189089.7796445007
278,20170209,1202214.0365166005
279,20170210,1201119.5526072006
280,20170213,1214243.7474375006
281,20170214,1218618.4354863006
282,20170215,1217878.3299368005
283,20170216,1217689.4947708007
284,20170217,1219518.3613516008
285,20170221,1217139.4308738005
286,20170222,1214748.0630904005
287,20170223,1219487.769202201
288,20170224,1219481.6579244009
289,20170227,1212357.1662466004
290,20170228,1207764.0976516006
291,20170301,1225280.7099009007
292,20170302,1208211.6475592006
293,20170303,1212586.0570707005
294,20170306,1212946.9705855004
295,20170307,1215313.8467086004
296,20170308,1226132.4130366005
297,20170309,1221380.7055674004
298,20170310,1225043.6864866004
299,20170313,1221022.1808929008
300,20170314,1215512.0095042004
301,20170315,1221711.736586901
302,20170316,1219687.4116151007
303,20170317,1223879.3958464009
304,20170320,1224973.8617259006
305,20170321,1211826.1967322007
306,20170322,1226864.6302293006
307,20170323,1223938.1199774009
308,20170324,1225950.3998569006
309,20170327,1228134.3413322007
310,20170328,1231614.1124599006
311,20170329,1234893.396118901
312,20170330,1239290.5194548005
313,20170331,1242022.2223932007
314,20170403,1236328.3988455008
315,20170404,1239607.7351153006
316,20170405,1236482.4256616007
317,20170406,1239579.2408857006
318,20170407,1238655.5016320006
319,20170410,1235911.1605078005
320,20170411,1234987.8087708005
321,20170412,1230418.5750614007
322,20170413,1225275.1890947006
323,20170417,1234942.8242085006
324,20170418,1233285.5751991007
325,20170419,1226890.8402003006
326,20170420,1235324.465202801
327,20170421,1251745.5429013004
328,20170424,1272471.2866844009
329,20170425,1279583.7245014007
330,20170426,1277925.7985333004
331,20170427,1285950.5382781005
332,20170428,1289430.0290107005
333,20170501,1306763.3886745006
334,20170502,1304738.7199946004
335,20170503,1300716.7239173003
