,date,assets
0,0,1000000.0
1,20090105,1000002.7430119675
2,20090106,1000023.368849043
3,20090107,1000001.5767634796
4,20090108,1000031.2577671923
5,20090109,1000019.0353512085
6,20090112,1000017.3353323763
7,20090113,1000036.8881092498
8,20090114,999937.7797644765
9,20090115,999957.1893817725
10,20090116,1000048.307427641
11,20090120,999711.1413015716
12,20090121,999939.2951038083
13,20090122,999246.6836306555
14,20090123,999279.2802835641
15,20090126,999458.942656898
16,20090127,999467.8977600785
17,20090128,999607.943419365
18,20090129,999409.6385385457
19,20090130,999158.6742607299
20,20090202,999501.5690574587
21,20090203,999768.4685460444
22,20090204,999829.0042390841
23,20090205,1000017.9017755884
24,20090206,1000297.3931004115
25,20090209,1000179.864286824
26,20090210,999793.040818743
27,20090211,1000027.2968216211
28,20090212,1000050.652130224
29,20090213,999959.9763626619
30,20090217,999533.228581564
31,20090218,999546.0992860174
32,20090219,999443.2624196456
33,20090220,999485.9509175842
34,20090223,999109.9695720981
35,20090224,999092.0348454486
36,20090225,999001.396003356
37,20090226,998808.6703534671
38,20090227,998698.9237666007
39,20090302,998580.0844548659
40,20090303,998605.0644880909
41,20090304,998690.6609433341
42,20090305,998316.6549429531
43,20090306,998320.8155364258
44,20090309,998264.1210618397
45,20090310,998937.1899042483
46,20090311,999271.2831003092
47,20090312,999211.625390595
48,20090313,998971.3412203426
49,20090316,998673.8055402546
50,20090317,999203.9095483558
51,20090318,999252.9602471901
52,20090319,999386.0201026944
53,20090320,999321.8133801583
54,20090323,1000229.5231984421
55,20090324,999966.8723388453
56,20090325,999930.5166883882
57,20090326,1000623.6134953673
58,20090327,1000066.7478984247
59,20090330,999582.7484502936
60,20090331,1000182.905997036
61,20090401,1000888.8232584799
62,20090402,1000873.7789137185
63,20090403,1000466.1619671996
64,20090406,1000473.2935905615
65,20090407,1000472.1397442142
66,20090408,1000839.2221684761
67,20090409,1001211.7848514832
68,20090413,1001154.0818965178
69,20090414,1000965.5534176498
70,20090415,1000518.91366681
71,20090416,1001315.1263043341
72,20090417,1000871.0804740167
73,20090420,1000377.2725683156
74,20090421,1000655.756525858
75,20090422,1000502.8133407148
76,20090423,1000624.4549702134
77,20090424,1002525.5092385251
78,20090427,1002075.4993816785
79,20090428,1001687.5998012898
80,20090429,1001973.9733710589
81,20090430,1001982.1877271226
82,20090501,1001960.5445481729
83,20090504,1001905.2473655408
84,20090505,1001439.450006127
85,20090506,1001438.8521854118
86,20090507,1000841.5462273381
87,20090508,1000973.3882035507
88,20090511,1000833.9550093536
89,20090512,1001636.548516436
90,20090513,1001428.7113827083
91,20090514,1001902.8668470114
92,20090515,1002158.9310746387
93,20090518,1002768.2319634313
94,20090519,1002520.7764290392
95,20090520,1002632.1884336071
96,20090521,1001683.5097344028
97,20090522,1001560.7471306471
98,20090526,1002561.7837490981
99,20090527,1002187.374553141
100,20090528,1002752.3569748959
101,20090529,1003493.8501627092
102,20090601,1004356.7818015284
103,20090602,1004356.6850235016
104,20090603,1004937.7148288229
105,20090604,1005116.1396740628
106,20090605,1005691.5786805724
