,date,assets
0,0,1000000.0
1,20160105,999999.8149973
2,20160106,1000133.5525956
3,20160107,994890.1965961001
4,20160108,990049.5399946
5,20160111,990758.1219975001
6,20160112,996710.5057946001
7,20160113,978780.8924939003
8,20160114,990038.8148941001
9,20160115,971724.3797970002
10,20160119,978994.9007958001
11,20160120,975250.7591980002
12,20160121,984948.9321968001
13,20160122,1009136.2380941001
14,20160125,990180.4366971002
15,20160126,992086.0997421002
16,20160127,973933.5664341003
17,20160128,1017012.8809461001
18,20160129,1033690.9570361002
19,20160201,1046279.4903441002
20,20160202,1063875.6737281003
21,20160203,1011434.9570361002
22,20160204,985089.4142541001
23,20160205,951093.3700811003
24,20160208,949938.8164341003
25,20160209,943498.4794791
26,20160210,951858.4033891002
27,20160211,950453.4794791
28,20160212,949465.9237281003
29,20160216,961428.4903441002
30,20160217,985631.9237281003
31,20160218,970261.3069601001
32,20160219,975213.2627871002
33,20160222,982933.3809461001
34,20160223,968174.8069601001
35,20160224,973335.4475621004
36,20160225,981945.7403441002
37,20160226,980999.8700811003
38,20160229,970845.5881641002
39,20160301,1000112.1975621004
40,20160302,1000167.8069601001
41,20160303,991223.6866971002
42,20160304,989095.5012091004
43,20160307,967215.0127871002
44,20160308,965559.7200051001
45,20160309,981236.3164341003
46,20160310,991780.1200811003
47,20160311,1011254.1200811003
48,20160314,1016359.0664341003
49,20160315,1013354.5439911002
50,20160316,1024148.7179011002
51,20160317,1026499.5106831002
52,20160318,1026249.0569601001
53,20160321,1032494.7179011002
54,20160322,1030630.7403441002
55,20160323,1026888.9475621004
56,20160324,1023049.7736521001
57,20160328,1020587.7606831002
58,20160329,1036222.5881641002
59,20160330,1044234.7606831002
60,20160331,1036472.9570361002
61,20160401,1043372.2627871002
62,20160404,1036945.8497421002
63,20160405,1026527.2736521001
64,20160406,1037502.2831261
65,20160407,1029977.0106831002
66,20160408,1028405.1737281003
67,20160411,1024162.5569601001
68,20160412,1033885.7179011002
69,20160413,1045889.9700051001
70,20160414,1047948.7070361002
71,20160415,1056016.4903441002
72,20160418,1066601.9794790999
73,20160419,1048964.1106071002
74,20160420,1047211.4366971002
75,20160421,1056211.2512091005
76,20160422,1000056.5881641002
77,20160425,1006149.1737281003
78,20160426,985270.2512091004
79,20160427,982070.9679011002
80,20160428,961456.3381641002
81,20160429,964224.4142541001
82,20160502,971457.6309461001
83,20160503,963320.2294791
84,20160504,967966.2070361002
85,20160505,975936.6106071001
86,20160506,989415.4033891002
87,20160509,991891.4237281003
88,20160510,1006190.8606071001
89,20160511,995215.8497421002
90,20160512,992461.6975621004
91,20160513,989012.0439911002
92,20160516,996885.0664341003
93,20160517,982613.3925241001
94,20160518,983169.8272991001
95,20160519,974392.6200811003
96,20160520,987495.8164341003
97,20160523,979845.3164341003
98,20160524,1001892.7179011002
99,20160525,1009098.0881641002
100,20160526,1007498.4033891002
101,20160527,1019377.5127871002
102,20160531,1023633.9700051001
103,20160601,1021450.1737281003
104,20160602,1016233.9237281003
105,20160603,1005022.4679011002
106,20160606,996968.5236521001
107,20160607,997107.6737281003
108,20160608,1013285.0106831002
109,20160609,1013702.2939911002
110,20160610,1000946.7627871002
111,20160613,999486.2294791
112,20160614,999361.0881641002
113,20160615,1000265.1866971002
114,20160616,988358.2294791
115,20160617,962429.9700051001
116,20160620,965198.1309461001
117,20160621,968300.0331261
118,20160622,970414.3809461001
119,20160623,976548.6533891002
120,20160624,939478.4700051001
121,20160627,929797.1642541001
122,20160628,946183.0997421002
123,20160629,951844.4794791
124,20160630,962958.5569601001
125,20160701,972848.6309461001
126,20160705,966922.9570361002
127,20160706,970845.5881641002
128,20160707,967493.2294791
129,20160708,981778.8272991001
130,20160711,994937.7179011002
131,20160712,1002657.7512091004
132,20160713,997566.6425241001
133,20160714,1003088.9570361002
134,20160715,1001558.8069601001
135,20160718,1020935.5106831002
136,20160719,1025358.8809461001
137,20160720,1031242.7831261
138,20160721,1027681.8272991001
139,20160722,1033398.8164341003
140,20160725,1029267.5881641002
141,20160726,1027389.6866971002
142,20160727,1032049.5881641002
143,20160728,1037808.2627871002
144,20160729,1069634.3497421
145,20160801,1075323.5772991
146,20160802,1072805.8700811001
147,20160803,1075740.8606071002
148,20160804,1073556.9794790999
149,20160805,1088315.4700051001
150,20160808,1087675.6642541
151,20160809,1091153.1642541
152,20160810,1091737.3606071002
153,20160811,1091973.8069601
154,20160812,1089706.4700051001
155,20160815,1088621.5331261
156,20160816,1081249.2512091005
157,20160817,1085102.2627871002
158,20160818,1081749.9903441002
159,20160819,1078856.6866971
160,20160822,1074308.1737281003
161,20160823,1074210.7939911003
162,20160824,1070816.7512091005
163,20160825,1070496.7627871002
164,20160826,1070677.5997421
165,20160829,1074308.1737281003
166,20160830,1070051.7179011002
167,20160831,1067214.0236521002
168,20160901,1069620.5106831002
169,20160902,1073348.3809461002
170,20160906,1085338.7939911003
171,20160907,1085714.3069601
172,20160908,1078717.6200811001
173,20160909,1056934.5127871002
174,20160912,1069954.3381641002
175,20160913,1056976.2831261
176,20160914,1060871.0664341003
177,20160915,1073765.6642541
178,20160916,1069759.5772991
179,20160919,1065336.2070361
180,20160920,1073278.7627871002
181,20160921,1079969.4700051001
182,20160922,1095256.6309461002
183,20160923,1094825.4237281003
184,20160926,1077173.6309461002
185,20160927,1089414.4142541
186,20160928,1087397.4475621004
187,20160929,1078286.4142541
188,20160930,1081457.8497421
189,20161003,1074878.4475621004
190,20161004,1080261.6106071002
191,20161005,1080317.2200051001
192,20161006,1080859.7294790999
193,20161007,1078383.7939911003
194,20161010,1093490.0331261
195,20161011,1089497.8700811001
196,20161012,1093768.2512091005
197,20161013,1082709.7831261
198,20161014,1083182.7606831002
199,20161017,1085171.8809461002
200,20161018,1106454.1642541
201,20161019,1115133.9903441002
202,20161020,1108832.7200051001
203,20161021,1112171.1533891002
204,20161024,1131283.4794790999
205,20161025,1123716.4366971
206,20161026,1111753.8700811001
207,20161027,1106579.3069601
208,20161028,1106607.1533891002
209,20161031,1091542.5997421
210,20161101,1090248.9794790999
211,20161102,1069509.2070361
212,20161103,1060370.3272991
213,20161104,1060217.3381641002
214,20161107,1088732.8381641002
215,20161108,1099846.9142541
216,20161109,1092613.6975621004
217,20161110,1060968.4475621004
218,20161111,1049089.3381641002
219,20161114,1024134.7939911002
220,20161115,1055307.0664341003
221,20161116,1063639.1425241001
222,20161117,1073028.3925241001
223,20161118,1058158.5997421
224,20161121,1070204.7070361
225,20161122,1068911.0881641002
226,20161123,1058784.5664341003
