,date,assets
0,0,1000000.0
1,20160105,1000018.7111001
2,20160106,1000306.3927001
3,20160107,1000739.9269003
4,20160108,1000541.3111000999
5,20160111,1000060.7421000999
6,20160112,999732.2687002999
7,20160113,1000078.8491003999
8,20160114,998708.3739002999
9,20160115,999652.0764005999
10,20160119,999541.6694004
11,20160120,1001060.2714001
12,20160121,1001193.7283998
13,20160122,1000546.182
14,20160125,1002047.6848
15,20160126,1003852.0752998
16,20160127,1004481.3478997
17,20160128,1002515.5771995
18,20160129,1003242.9159994
19,20160201,1005322.2323997
20,20160202,1005391.4133994
21,20160203,1007816.6127998
22,20160204,1010709.6877998
23,20160205,1014723.6307997999
24,20160208,1018336.4035998
25,20160209,1017700.0205995999
26,20160210,1019976.6547993999
27,20160211,1032385.2060994998
28,20160212,1030413.3084996999
29,20160216,1019990.4608996
30,20160217,1022109.0018998999
31,20160218,1030808.4476995999
32,20160219,1028524.6218994999
33,20160222,1021615.8506993
34,20160223,1027486.3118995
35,20160224,1028839.5898993999
36,20160225,1029943.8180992999
37,20160226,1026935.0371994999
38,20160229,1032737.3185993999
39,20160301,1029332.4467994999
40,20160302,1032960.6817997999
41,20160303,1041353.8260998
42,20160304,1040543.7446994998
43,20160307,1043111.6820993999
44,20160308,1040635.5812994998
45,20160309,1036123.5232992999
46,20160310,1044943.5560990998
47,20160311,1035108.4248990999
48,20160314,1027704.4790986998
49,20160315,1028133.6724983997
50,20160316,1041271.8614984998
51,20160317,1038913.8075988998
52,20160318,1037185.8257991998
53,20160321,1032721.8245988997
54,20160322,1034599.9231989997
55,20160323,1019738.0086991998
56,20160324,1018158.3532990997
57,20160328,1019685.6974988999
58,20160329,1032202.0606990997
59,20160330,1022396.1610988998
60,20160331,1025624.4570990999
61,20160401,1021281.6991991997
62,20160404,1016434.0185991997
63,20160405,1025935.4161989997
64,20160406,1021315.6373985996
65,20160407,1032158.9368983997
66,20160408,1030959.0692982997
67,20160411,1041667.2195982996
68,20160412,1041791.2437983997
69,20160413,1032947.1973980997
70,20160414,1021315.3483983997
71,20160415,1027054.6160982997
72,20160418,1025746.8240984997
73,20160419,1039167.0792986997
74,20160420,1034641.1138984998
75,20160421,1038004.1943983998
76,20160422,1026364.2599985998
77,20160425,1028970.5017986997
78,20160426,1032624.6319983996
79,20160427,1035298.7935986998
80,20160428,1053286.8895985996
81,20160429,1072390.7686984998
82,20160502,1069016.3708982999
83,20160503,1066680.0551984997
84,20160504,1060367.7591985997
