,date,assets
0,0,1000000.0
1,20160105,996687.45
2,20160106,984728.1499999999
3,20160107,977924.7999999999
4,20160108,973073.7
5,20160111,946023.7999999999
6,20160112,941179.2999999999
7,20160113,935535.6
8,20160114,944692.7
9,20160115,907748.6499999999
10,20160119,880208.7
11,20160120,854871.4999999999
12,20160121,886636.5999999999
13,20160122,968499.0499999998
14,20160125,874655.2
15,20160126,930118.0499999999
16,20160127,961277.2
17,20160128,1043684.3999999999
18,20160129,1037336.75
19,20160201,918539.45
20,20160202,839498.4
21,20160203,978061.3
22,20160204,934017.6
23,20160205,890340.837
24,20160208,834365.837
25,20160209,748164.337
26,20160210,717924.003
27,20160211,728004.003
28,20160212,775044.003
29,20160216,758244.003
30,20160217,840004.003
31,20160218,817604.003
32,20160219,799684.003
33,20160222,861284.003
34,20160223,789604.003
35,20160224,813124.003
36,20160225,844484.003
37,20160226,841124.003
38,20160229,885924.003
39,20160301,908324.003
40,20160302,926244.003
41,20160303,926244.003
42,20160304,1006884.003
43,20160307,1100964.003
44,20160308,1008004.003
45,20160309,1104324.003
46,20160310,1079684.003
47,20160311,1111044.003
48,20160314,1047204.003
49,20160315,1004644.003
50,20160316,1103204.003
51,20160317,1183844.003
52,20160318,1168164.003
53,20160321,1192804.003
54,20160322,1180484.003
55,20160323,1086404.003
56,20160324,1072964.003
57,20160328,1066244.003
58,20160329,1018084.003
59,20160330,1002404.003
60,20160331,997924.003
61,20160401,921764.003
62,20160404,870244.003
63,20160405,880324.003
64,20160406,974404.003
65,20160407,953124.003
66,20160408,1059524.003
67,20160411,1107684.003
68,20160412,1186084.003
69,20160413,1156964.003
70,20160414,1148004.003
71,20160415,1097604.003
72,20160418,1085284.003
73,20160419,1142404.003
74,20160420,1207364.003
75,20160421,1195044.003
76,20160422,1202884.003
77,20160425,1165924.003
78,20160426,1218564.003
79,20160427,1292484.003
80,20160428,1304804.003
81,20160429,1320484.003
82,20160502,1260004.003
83,20160503,1193924.003
84,20160504,1199524.003
85,20160505,1220804.003
86,20160506,1238724.003
87,20160509,1170404.003
88,20160510,1243204.003
89,20160511,1321604.003
90,20160512,1346244.003
91,20160513,1329444.003
92,20160516,1420164.003
93,20160517,1457124.003
94,20160518,1408964.003
95,20160519,1425764.003
96,20160520,1413444.003
97,20160523,1395524.003
98,20160524,1433604.003
99,20160525,1482884.003
100,20160526,1463844.003
101,20160527,1470564.003
102,20160531,1443684.003
103,20160601,1458244.003
104,20160602,1442564.003
105,20160603,1432484.003
106,20160606,1484004.003
107,20160607,1529924.003
108,20160608,1582564.003
109,20160609,1537764.003
110,20160610,1443684.003
111,20160613,1417924.003
112,20160614,1407844.003
113,20160615,1350724.003
114,20160616,1268964.003
115,20160617,1387684.003
116,20160620,1444804.003
117,20160621,1447044.003
118,20160622,1416804.003
119,20160623,1466084.003
120,20160624,1329444.003
121,20160627,1282404.003
122,20160628,1345124.003
123,20160629,1416804.003
124,20160630,1368644.003
125,20160701,1410084.003
126,20160705,1275684.003
127,20160706,1304804.003
128,20160707,1188324.003
129,20160708,1190564.003
130,20160711,1153604.003
131,20160712,1270084.003
132,20160713,1173764.003
133,20160714,1197284.003
134,20160715,1221924.003
135,20160718,1187204.003
136,20160719,1161444.003
137,20160720,1162564.003
138,20160721,1113284.003
139,20160722,1097604.003
140,20160725,1038244.003
141,20160726,1025924.003
142,20160727,991204.003
143,20160728,945284.003
144,20160729,960964.003
145,20160801,894884.003
146,20160802,878084.003
147,20160803,943044.003
148,20160804,972164.003
149,20160805,978884.003
150,20160808,1020324.003
151,20160809,1016964.003
152,20160810,959844.003
153,20160811,1042724.003
154,20160812,1099844.003
155,20160815,1152484.003
156,20160816,1186084.003
157,20160817,1205124.003
158,20160818,1265604.003
159,20160819,1268964.003
160,20160822,1192804.003
161,20160823,1219684.003
162,20160824,1161444.003
163,20160825,1187204.003
164,20160826,1188324.003
165,20160829,1167044.003
166,20160830,1141284.003
167,20160831,1060644.003
168,20160901,999044.003
169,20160902,1031524.003
170,20160906,1065124.003
171,20160907,1089764.003
