,date,assets
0,0,1000000.0
1,20090105,999981.8519743152
2,20090106,1000005.4397081712
3,20090107,1000004.9694371717
4,20090108,1000004.9694371717
5,20090109,1000004.9694371717
6,20090112,1000009.5749732323
7,20090113,999998.5958807386
8,20090114,999998.2821897295
9,20090115,1000009.2008222529
10,20090116,1000008.8802468271
11,20090120,999964.6298054272
12,20090121,999996.4270523944
13,20090122,1000110.1070024869
14,20090123,999863.7059983192
15,20090126,999841.5266096947
16,20090127,999689.977040313
17,20090128,999749.282029298
18,20090129,999645.83446304
19,20090130,999570.7465861972
20,20090202,999501.2232327266
21,20090203,999511.3452744737
22,20090204,999498.9312235563
23,20090205,999524.9691203223
24,20090206,999609.5158273207
25,20090209,999583.7672409198
26,20090210,999584.6649823034
27,20090211,999584.5072588462
28,20090212,999605.408960825
29,20090213,999600.6650094968
30,20090217,999578.2060698512
31,20090218,999552.5379838774
32,20090219,999550.3293655928
33,20090220,999537.0587907089
34,20090223,999527.9410350021
35,20090224,999554.6596922806
36,20090225,999444.9257724098
37,20090226,999450.7107174305
38,20090227,999409.1290941661
39,20090302,999323.7442907238
40,20090303,999253.6484601992
41,20090304,999251.6748587427
42,20090305,999200.4792794136
43,20090306,999217.8911280181
44,20090309,999227.0764020443
45,20090310,999270.2078136171
46,20090311,999268.8727528271
47,20090312,999274.0293138656
48,20090313,999288.8099323813
49,20090316,999273.492868926
50,20090317,999310.2613847769
51,20090318,999321.5546403514
52,20090319,999309.7188415162
53,20090320,999297.8426683242
54,20090323,999310.2373737376
55,20090324,999304.3491220996
56,20090325,999304.0644155112
57,20090326,999304.0644155112
58,20090327,999304.0644155112
59,20090330,999303.0195059723
60,20090331,999302.9221647283
61,20090401,999302.9221647283
62,20090402,999302.9221647283
63,20090403,999302.9221647283
64,20090406,999346.7003285283
65,20090407,999236.8395794282
66,20090408,999304.2680670192
67,20090409,999382.4667669061
68,20090413,999375.1336965947
69,20090414,999356.6766706374
70,20090415,999475.3234701379
71,20090416,999292.5534829699
72,20090417,999316.4678263587
73,20090420,999261.8606125669
74,20090421,999425.3504848363
75,20090422,999408.8672310953
76,20090423,999396.2957644975
77,20090424,999453.0606825305
78,20090427,999264.5125664611
79,20090428,999285.7969141494
80,20090429,999339.1152859811
81,20090430,999296.7311799894
82,20090501,999309.3249759164
83,20090504,999387.2870060056
84,20090505,999404.2733490402
85,20090506,999414.1125149832
86,20090507,999371.5008389205
87,20090508,999377.734245051
88,20090511,999364.543099315
89,20090512,999361.195494503
90,20090513,999315.6386206342
91,20090514,999322.8869479286
92,20090515,999316.1778172932
93,20090518,999361.3578520439
94,20090519,999355.4325421889
95,20090520,999326.1468534482
96,20090521,999289.6020524707
97,20090522,999281.682118726
98,20090526,999326.0219829733
99,20090527,999272.7588889146
100,20090528,999290.0306150602
101,20090529,999303.771746632
102,20090601,999324.996742851
103,20090602,999334.1788933572
104,20090603,999326.1507987785
105,20090604,999303.2486490688
106,20090605,999307.4681231036
107,20090608,999300.5580177694
108,20090609,999299.3566884666
109,20090610,999276.7443730917
110,20090611,999275.3596803538
111,20090612,999271.9467974658
112,20090615,999245.2947936028
113,20090616,999230.0504974084
114,20090617,999275.4125936446
115,20090618,999280.4449382095
116,20090619,999280.0527093371
117,20090622,999216.8356268925
