,date,assets
0,0,1000000.0
1,20160105,999616.299801
2,20160106,999324.9300032001
3,20160107,991848.6584008
4,20160108,991609.8616006001
5,20160111,992618.1568018
6,20160112,992556.3828028
7,20160113,988886.5921013
8,20160114,991066.4115015
9,20160115,984161.1094015
10,20160119,984964.0888022
11,20160120,984635.6448041999
12,20160121,985228.4678022
13,20160122,987306.9643001999
14,20160125,987247.3262997
15,20160126,987247.3262997
16,20160127,985397.1988997
17,20160128,995738.8639021
18,20160129,981170.3361045
19,20160201,978673.6357045001
20,20160202,976345.1525047001
21,20160203,972083.9487071002
22,20160204,972549.8420064002
23,20160205,965670.2150054001
24,20160208,961411.0023049002
25,20160209,958950.1927043003
26,20160210,961424.9869036004
27,20160211,966711.9373025004
28,20160212,968291.5453018004
29,20160216,976652.8307031004
30,20160217,985700.7207055003
31,20160218,978367.3299079004
32,20160219,985244.8467079005
33,20160222,999951.3423055004
34,20160223,996615.3933055004
35,20160224,997000.0897053005
36,20160225,997499.7087075005
37,20160226,997476.1761051004
38,20160229,996065.6731071005
39,20160301,1006618.4043051006
40,20160302,1006911.5135073005
41,20160303,1005765.4797051006
42,20160304,1004532.7432061007
43,20160307,997071.2130046006
44,20160308,995236.9484058006
45,20160309,994548.8912048007
46,20160310,994114.9596077006
47,20160311,1002603.0602084005
48,20160314,1005178.1062099007
49,20160315,1008040.7892104008
50,20160316,1005508.0872084007
51,20160317,990620.6422064006
52,20160318,982468.7147062008
53,20160321,984313.4697045007
54,20160322,990108.0717065007
55,20160323,999202.0487085008
56,20160324,1013797.0934080009
57,20160328,1010042.7780068009
58,20160329,1028171.7780073006
59,20160330,1034874.4158088006
60,20160331,1028249.5637086012
61,20160401,1034022.181707101
62,20160404,1028121.3339071006
63,20160405,1019602.0305069011
64,20160406,1040265.4191054008
65,20160407,1027425.1823037008
66,20160408,1030853.0206044009
67,20160411,1032389.5810068009
68,20160412,1040293.9770075008
69,20160413,1054213.688809201
70,20160414,1061861.197708501
71,20160415,1068995.1437085012
72,20160418,1083122.496207001
73,20160419,1071139.038009401
74,20160420,1079729.1902070008
75,20160421,1076481.907208001
76,20160422,1060668.807208001
77,20160425,1069726.7764080008
78,20160426,1053820.144506801
79,20160427,1036205.732882761
80,20160428,1028796.504626061
81,20160429,1127100.070742061
82,20160502,1166044.109731361
83,20160503,1144614.179138689
84,20160504,1143898.108123689
85,20160505,1123762.0632386887
86,20160506,1149098.337663689
87,20160509,1158339.923402489
88,20160510,1198009.920080489
89,20160511,1215313.057169496
90,20160512,1223317.179308496
91,20160513,1209676.1322784962
92,20160516,1210936.3352484962
93,20160517,1184727.2452894961
94,20160518,1188439.771665496
95,20160519,1190261.9952894961
96,20160520,1197052.931991496
97,20160523,1186679.522428696
98,20160524,1199366.892864696
99,20160525,1206434.281556696
100,20160526,1217605.956447696
101,20160527,1213058.975398696
102,20160531,1229899.382163696
103,20160601,1224792.0892378958
104,20160602,1237066.5284016961
105,20160603,1232935.586366696
106,20160606,1234770.6055748959
107,20160607,1230203.977606896
108,20160608,1234780.3436828963
109,20160609,1236426.591532456
110,20160610,1219878.244883456
111,20160613,1215341.943766456
112,20160614,1222239.880368456
113,20160615,1214109.025547656
114,20160616,1218909.349546656
115,20160617,1201056.7265406563
116,20160620,1213932.459044156
117,20160621,1217008.7399341462
118,20160622,1208585.108333446
119,20160623,1228030.1180358462
120,20160624,1188726.1265358462
121,20160627,1175806.063635846
122,20160628,1202280.970837346
123,20160629,1215201.23060817
124,20160630,1215235.2228701701
125,20160701,1231239.5376746699
126,20160705,1235272.7122033562
127,20160706,1251401.6874673557
128,20160707,1249668.1215808562
129,20160708,1265265.4893161564
130,20160711,1277911.077792356
131,20160712,1268395.2917044852
132,20160713,1259420.3435872851
133,20160714,1256922.2424517851
134,20160715,1247159.0255017849
135,20160718,1248090.339476585
136,20160719,1254593.340950885
137,20160720,1264373.421455885
138,20160721,1262241.3345487851
139,20160722,1262809.7295894846
140,20160725,1254361.4935909847
141,20160726,1248277.695382485
142,20160727,1249926.666199785
143,20160728,1276871.3025914847
144,20160729,1287385.7720295005
145,20160801,1302531.0384615003
146,20160802,1291026.9475545
147,20160803,1282064.6465608003
148,20160804,1290546.6695393
149,20160805,1298264.6926973
150,20160808,1299113.8034273006
151,20160809,1302003.1805474965
152,20160810,1302324.8495476965
153,20160811,1306251.9015958963
154,20160812,1308278.8703488966
155,20160815,1301311.8633650944
156,20160816,1293777.9930490942
157,20160817,1294641.5020622942
158,20160818,1294311.2544427942
159,20160819,1284274.8250085944
160,20160822,1287004.8807347943
161,20160823,1290472.1809127943
162,20160824,1284712.322795594
163,20160825,1286986.7731985943
164,20160826,1299556.4286984943
165,20160829,1302211.4724524943
166,20160830,1297337.3638816944
167,20160831,1299145.4933879944
168,20160901,1300956.3858366944
169,20160902,1303414.5935881939
170,20160906,1324581.3305369944
171,20160907,1318387.152642494
172,20160908,1317681.6715184944
173,20160909,1279498.7325996947
174,20160912,1296368.2312731943
175,20160913,1281692.4701341945
176,20160914,1281735.8345141942
177,20160915,1293639.490686494
178,20160916,1306745.7385602943
179,20160919,1301903.7652662944
180,20160920,1309470.4078036943
181,20160921,1324557.7760735946
182,20160922,1349579.3948084344
183,20160923,1351340.2246844345
184,20160926,1340867.1771054342
185,20160927,1365822.4288321342
186,20160928,1383104.7685556344
187,20160929,1383509.3316675343
188,20160930,1396452.4624387347
189,20161003,1395426.9012029143
190,20161004,1390909.3962159143
191,20161005,1408129.432867914
192,20161006,1403628.5128639145
193,20161007,1400049.9682066143
194,20161010,1403766.833550315
195,20161011,1385913.2268763145
196,20161012,1390672.1991853144
197,20161013,1382570.5235166145
198,20161014,1372035.0718476144
199,20161017,1355348.3851776144
200,20161018,1363183.3051816146
201,20161019,1363249.9485076142
202,20161020,1350964.1668426145
203,20161021,1365417.0285036145
204,20161024,1397256.7901826145
205,20161025,1392405.7635046144
206,20161026,1372593.7687833144
207,20161027,1365460.029766614
208,20161028,1299501.5482421145
209,20161031,1321928.4162414144
210,20161101,1314938.9109627143
211,20161102,1281770.4616404145
212,20161103,1284225.9346144286
213,20161104,1264171.3459804284
214,20161107,1311126.9688516285
215,20161108,1315761.0272623005
216,20161109,1289258.1356123004
217,20161110,1239993.1356123004
218,20161111,1234628.0054618004
219,20161114,1201254.2994508003
220,20161115,1241618.1710608006
221,20161116,1247045.6710608006
222,20161117,1262529.7754418005
223,20161118,1268730.2467204246
224,20161121,1299783.2330861245
225,20161122,1308587.3814081245
226,20161123,1300349.9539544247
227,20161125,1300638.4419549245
228,20161128,1279262.8441054246
229,20161129,1272105.6671034244
230,20161130,1253315.6947434244
