,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000029.7397983001
3,20160107,999955.3777988
4,20160108,998690.7343973
5,20160111,998931.2990002001
6,20160112,1001871.6893973001
7,20160113,996697.0805966002
8,20160114,1000875.0164968001
9,20160115,992695.5608997002
10,20160119,994828.1056985002
11,20160120,993421.9403007001
12,20160121,997422.1027995001
13,20160122,1008547.4275968001
14,20160125,998968.8906968001
15,20160126,999993.7196985001
16,20160127,988177.4265007002
17,20160128,1019077.4595017001
18,20160129,1032193.3524995001
19,20160201,1042979.0430983001
20,20160202,1059348.8742983001
21,20160203,1007069.3624262601
22,20160204,980837.4596562601
23,20160205,946988.0555012602
24,20160208,945853.1266555602
25,20160209,940298.29673156
26,20160210,947953.3485830602
27,20160211,946486.07273356
28,20160212,945505.4618500602
29,20160216,957348.1886076602
30,20160217,979638.1194476602
31,20160218,964298.238309332
32,20160219,969218.1541633322
33,20160222,976263.2259840321
34,20160223,961540.8129158542
35,20160224,966664.3532978544
36,20160225,975212.7460598542
37,20160226,974271.1000268542
38,20160229,965579.3083791543
39,20160301,988253.7475951544
40,20160302,988229.0806133542
41,20160303,979920.3745827542
42,20160304,977749.7011043525
43,20160307,956120.8933543523
44,20160308,954534.1248070522
45,20160309,969961.0039349523
46,20160310,980383.5273099523
47,20160311,999633.5273099523
48,20160314,1004679.7539349523
49,20160315,1001709.7910599522
50,20160316,1012379.8048099522
51,20160317,1014703.5575599523
52,20160318,1014455.9846849522
53,20160321,1020629.8048099522
54,20160322,1018787.2676849522
55,20160323,1015088.5149349525
56,20160324,1011293.5011849522
57,20160328,1008859.8075599523
58,20160329,1024314.7951849523
59,20160330,1031584.3296579523
60,20160331,1023843.0838270813
61,20160401,1030658.0702410813
62,20160404,1024310.1971110813
63,20160405,1014018.9508510813
64,20160406,1024859.8300870811
65,20160407,1017426.5271850813
66,20160408,1015912.8728121814
67,20160411,1011648.1918577813
68,20160412,1021252.5219317812
69,20160413,1033110.0649877812
70,20160414,1035143.6413217813
71,20160415,1042457.5060325813
72,20160418,1052830.874437581
73,20160419,1035421.2454215812
74,20160420,1033691.2516915812
75,20160421,1042574.6056275815
76,20160422,991107.6879910814
77,20160425,996173.5556810813
78,20160426,976993.4992216815
79,20160427,973764.8016961813
80,20160428,953323.7770030193
81,20160429,955799.8722110193
82,20160502,961861.3853580194
83,20160503,955479.3744328191
84,20160504,959348.0302673193
85,20160505,966607.1059651193
86,20160506,977961.4753238193
87,20160509,979811.0146153194
88,20160510,989803.8142639194
89,20160511,982796.1730796194
90,20160512,981182.2396618195
91,20160513,978931.0053630194
92,20160516,983269.0413283193
93,20160517,974178.8435393192
94,20160518,974499.8450163193
95,20160519,967620.6941738194
96,20160520,978656.8221301194
97,20160523,971551.3481311194
98,20160524,993338.1251551192
99,20160525,1000481.3355021194
100,20160526,998937.9265251195
101,20160527,1010642.1441876194
102,20160531,1014861.8814296194
103,20160601,1012696.9245166194
104,20160602,1007827.2595142195
105,20160603,996639.4836488193
106,20160606,988655.0198678194
107,20160607,988792.9695118194
108,20160608,1003596.0809044194
109,20160609,1003876.9387535193
110,20160610,993909.6032758194
111,20160613,992599.7264265191
112,20160614,992412.8251930195
113,20160615,993107.3045680195
114,20160616,983799.1747277192
115,20160617,961751.5622232193
116,20160620,964227.6654551195
117,20160621,966787.4408729193
118,20160622,968357.9484527193
119,20160623,973487.5606175194
120,20160624,939331.9929220194
121,20160627,931058.6769059193
122,20160628,943702.4363769195
123,20160629,948432.9706321191
124,20160630,958583.7581226194
125,20160701,968319.3015590194
126,20160705,962419.9516689094
127,20160706,966322.8427409095
128,20160707,963158.5807989092
129,20160708,975248.7484804094
130,20160711,987324.8537279094
131,20160712,993824.5305172096
132,20160713,989052.9815757093
133,20160714,994459.5426056094
134,20160715,992980.5015604093
135,20160718,1012118.0596498094
136,20160719,1016503.2699968094
137,20160720,1022336.4124168091
138,20160721,1018988.0572536093
139,20160722,1024581.8635681095
140,20160725,1020486.2749381094
141,20160726,1018624.5739151094
142,20160727,1022835.4292398095
143,20160728,1028466.8492418295
144,20160729,1057632.9046345295
145,20160801,1063182.1191316633
146,20160802,1060693.3718816633
147,20160803,1063306.4970309634
148,20160804,1061070.4180316632
149,20160805,1075659.1487816635
150,20160808,1074994.4765095634
151,20160809,1078353.8005085634
152,20160810,1078931.6414105734
153,20160811,1079165.1980525735
154,20160812,1077010.0866849734
155,20160815,1075860.0872818732
156,20160816,1068571.8227168717
157,20160817,1072380.5149668714
158,20160818,1069066.8020918714
159,20160819,1066337.0304168714
160,20160822,1062417.2865935715
161,20160823,1062250.8126661715
162,20160824,1059306.6023144717
163,20160825,1058982.3431629715
164,20160826,1059058.1580406716
165,20160829,1062309.0126928715
166,20160830,1058636.3012154715
167,20160831,1055958.3424877715
