,date,assets
0,0,1000000.0
1,20160105,1000017.8599343
2,20160106,1000012.8232949
3,20160107,1000012.8232949
4,20160108,1000012.8232949
5,20160111,1000005.2905138
6,20160112,1000088.3380777
7,20160113,999770.6070253
8,20160114,1000034.8689736001
9,20160115,999448.1223286
10,20160119,999364.7721461001
11,20160120,999423.2741061001
12,20160121,999305.1784235
13,20160122,1000128.5624031001
14,20160125,999849.3010822001
15,20160126,1000018.3987075001
16,20160127,999665.9567656
17,20160128,1000045.5330409
18,20160129,1001149.6579637001
19,20160201,1000970.7781645001
20,20160202,1000027.0708332001
21,20160203,999637.9502522001
22,20160204,999574.6272255002
23,20160205,998728.1431365001
24,20160208,998449.0694928002
25,20160209,998408.8698702002
26,20160210,998561.7295406002
27,20160211,998548.0319689002
28,20160212,998988.1409271002
29,20160216,999596.3089761002
30,20160217,1000572.0642839002
31,20160218,1000376.4833338001
32,20160219,1000030.7200782001
33,20160222,1000867.2722180001
34,20160223,999236.9113735001
35,20160224,999447.8222881001
36,20160225,1000397.7593160002
37,20160226,999287.1508532002
38,20160229,998663.2028109002
39,20160301,1001321.6186699002
40,20160302,1001930.4834757003
41,20160303,1000875.1055865004
42,20160304,1000339.4975867003
43,20160307,998583.8796749003
44,20160308,999721.8233117003
45,20160309,1001800.5677162001
46,20160310,1000339.7345626001
47,20160311,1002308.7513072002
48,20160314,1002506.5953607002
49,20160315,1003391.8509990001
50,20160316,1005067.7191349001
51,20160317,1005776.8508372002
52,20160318,1002968.6499739002
53,20160321,1003816.1059246003
54,20160322,1004314.2739799002
55,20160323,1004060.4918840003
56,20160324,1004674.7694029002
57,20160328,1003002.7697057003
58,20160329,1006016.6504494003
59,20160330,1006857.5540783004
60,20160331,1007316.8864759003
61,20160401,1008220.4250876004
62,20160404,1007828.2773673004
63,20160405,1005498.2482479003
64,20160406,1007041.2865982003
65,20160407,1005150.8803463003
66,20160408,1005027.8939114003
67,20160411,1004688.3779630003
68,20160412,1005748.6103510003
69,20160413,1008001.1829085003
70,20160414,1008029.2744629004
71,20160415,1009012.9536953003
72,20160418,1011694.8764039003
73,20160419,1011451.0014722003
74,20160420,1008644.5097911003
75,20160421,1009287.1943283003
76,20160422,996012.5874572003
77,20160425,997132.9452824002
78,20160426,994782.0461987003
79,20160427,992980.3966544003
80,20160428,989142.2985847003
81,20160429,989024.3394501004
82,20160502,991883.7869804004
83,20160503,988743.2506192004
84,20160504,989070.3914427005
85,20160505,989317.3693730005
86,20160506,990971.4594527003
87,20160509,989816.8308651004
88,20160510,993138.7825643003
89,20160511,993236.3528223004
90,20160512,994757.6202162004
91,20160513,993286.8152220005
92,20160516,995908.3642510005
93,20160517,992429.3472680005
94,20160518,993538.1842681005
95,20160519,991760.1823301006
96,20160520,992813.3493610005
97,20160523,990673.5347541005
98,20160524,996459.2202938005
99,20160525,998372.4296753005
100,20160526,997556.5820774005
101,20160527,999107.9177219004
102,20160531,1001627.0827651004
103,20160601,1001051.4201078004
104,20160602,999673.2399711004
105,20160603,997043.1688663004
106,20160606,998363.5344908003
107,20160607,998238.9851636003
108,20160608,997989.1146204002
109,20160609,996230.4691462002
110,20160610,995628.1161457002
111,20160613,989779.1758357002
112,20160614,988393.7983696003
113,20160615,987778.5833686003
114,20160616,990761.9254589004
115,20160617,989671.5750937004
116,20160620,989410.8183546003
117,20160621,994290.8022830004
118,20160622,993395.2825831005
119,20160623,997573.6369409005
120,20160624,987918.3050296004
121,20160627,981288.2150286005
122,20160628,986157.2182387004
123,20160629,991358.3637277004
124,20160630,994393.5887435004
125,20160701,994339.6723994004
126,20160705,994385.0208830005
127,20160706,995413.0836389004
128,20160707,995408.3159078005
129,20160708,999928.1316767004
130,20160711,1001376.4617761006
131,20160712,1004535.8472647006
132,20160713,1006034.1293212005
133,20160714,1007203.0179403006
134,20160715,1006990.1984166005
135,20160718,1008360.3803042006
136,20160719,1003673.0273661006
137,20160720,1018583.7241581006
138,20160721,1018006.9440725006
139,20160722,1022074.5016939006
140,20160725,1022930.2797638006
141,20160726,1023089.2951884004
142,20160727,1019910.5082286005
143,20160728,1020018.5040608004
144,20160729,1022717.2755371005
145,20160801,1022127.4453007006
146,20160802,1022122.1950432005
147,20160803,1024396.8895857006
148,20160804,1026807.9229386004
149,20160805,1030134.7872186004
150,20160808,1030723.2841067004
151,20160809,1031562.3310155005
152,20160810,1030487.9832330004
153,20160811,1032119.4590528004
154,20160812,1030042.9019907005
155,20160815,1031089.7893342004
156,20160816,1029172.0889751005
157,20160817,1029895.0506958005
158,20160818,1030136.2324115004
159,20160819,1030252.2026915003
160,20160822,1030545.6002046005
161,20160823,1031875.4584493005
162,20160824,1032239.7983518005
163,20160825,1033610.6612521005
164,20160826,1032716.3474110006
165,20160829,1033161.9199417005
166,20160830,1031783.9420363007
167,20160831,1029008.2074388006
168,20160901,1029852.5022910006
169,20160902,1030377.4595052006
170,20160906,1029979.9697499005
171,20160907,1030305.9972961006
172,20160908,1028797.3214746005
173,20160909,1020704.1077287004
174,20160912,1026189.1622962006
175,20160913,1022736.5085308006
176,20160914,1020966.4952193005
177,20160915,1026952.8847183005
178,20160916,1027339.7617819007
179,20160919,1025213.0356424006
180,20160920,1024400.9095815007
181,20160921,1030870.9606263008
182,20160922,1031280.1894676008
183,20160923,1028543.6057059007
184,20160926,1024876.2941600007
185,20160927,1032027.8720999007
186,20160928,1032575.2116002009
187,20160929,1028158.0382309008
188,20160930,1029571.9102850007
189,20161003,1028305.9920650008
190,20161004,1027056.8978522008
191,20161005,1029778.0302466007
192,20161006,1030463.6010920007
193,20161007,1030878.3523002007
194,20161010,1032576.1002065007
195,20161011,1026459.4142030007
196,20161012,1025871.4844666007
197,20161013,1024500.1796993008
198,20161014,1028042.9553719008
199,20161017,1026599.6574591008
200,20161018,1029798.804320801
201,20161019,1028834.486899301
202,20161020,1026737.6272162009
203,20161021,1044959.379576701
204,20161024,1055213.5424113008
205,20161025,1055130.2998272008
206,20161026,1052368.232477401
207,20161027,1048354.156741901
208,20161028,1046587.5458930009
209,20161031,1046960.1042197009
210,20161101,1046035.797777901
211,20161102,1043162.713539901
212,20161103,1041431.653250101
213,20161104,1037551.2116021011
214,20161107,1050957.6401398012
215,20161108,1051348.8466119012
216,20161109,1048934.168415201
217,20161110,1037261.8327305011
218,20161111,1039825.9114013012
219,20161114,1032509.346893501
220,20161115,1041934.352120801
221,20161116,1048307.7886841008
222,20161117,1056491.628625901
223,20161118,1054059.7972058011
224,20161121,1058368.805145601
225,20161122,1060538.244144501
226,20161123,1054441.226703401
227,20161125,1055547.568943101
228,20161128,1056233.709762801
229,20161129,1060424.302462601
230,20161130,1053240.499041001
231,20161201,1043968.044741801
232,20161202,1044404.2891855012
233,20161205,1052878.747829101
234,20161206,1050538.090189601
235,20161207,1062946.3923305012
236,20161208,1059759.531788201
237,20161209,1068326.938687301
238,20161212,1070088.303942801
239,20161213,1077315.968798401
240,20161214,1074659.1921118011
241,20161215,1073779.053525801
242,20161216,1071298.987440301
243,20161219,1083081.0540759012
244,20161220,1082353.163228101
245,20161221,1082347.1903002013
246,20161222,1082433.4353723011
247,20161223,1079542.4827034012
248,20161227,1079912.477975701
249,20161228,1077153.249288601
250,20161229,1076284.4182617012
251,20161230,1068919.866194701
252,20170103,1073215.6312708012
253,20170104,1070498.6752853012
254,20170105,1070492.818920901
255,20170106,1075715.427956501
256,20170109,1073754.2480303014
257,20170110,1073554.6579048012
258,20170111,1079121.2578599013
259,20170112,1073390.549833401
260,20170113,1074281.5727285012
261,20170117,1072565.679662201
262,20170118,1072255.2632772012
263,20170119,1070200.100912001
264,20170120,1074743.987547601
265,20170123,1077033.7252219012
266,20170124,1082923.632414801
267,20170125,1084617.1135664012
268,20170126,1090933.7840786013
269,20170127,1107251.3140289013
270,20170130,1100279.4683351014
271,20170131,1095084.5229436012
272,20170201,1083410.8292723012
273,20170202,1078895.508783901
274,20170203,1084546.5850369013
275,20170206,1084093.2303491014
276,20170207,1081757.8100207013
277,20170208,1080745.1669333014
278,20170209,1088860.9928054013
279,20170210,1088172.5672960011
280,20170213,1096423.6941263012
281,20170214,1099209.5011751011
282,20170215,1098734.2406256013
283,20170216,1098611.6814596013
284,20170217,1099778.4460404015
285,20170221,1098235.5347626014
286,20170222,1096680.2405792014
287,20170223,1099797.0330910014
288,20170224,1099790.9218132014
289,20170227,1095100.6949354012
290,20170228,1092068.1501404012
291,20170301,1103774.1383897015
292,20170302,1092509.9872480012
293,20170303,1095431.8079595014
294,20170306,1095671.6526743013
295,20170307,1097276.2325974011
296,20170308,1104523.7781254011
297,20170309,1101345.7282562011
298,20170310,1103760.4577754014
299,20170313,1101070.4721817013
300,20170314,1097376.0703930012
301,20170315,1101582.2184757013
302,20170316,1100223.6919039013
303,20170317,1103023.5609352014
304,20170320,1103743.5956147013
305,20170321,1095089.9234210013
306,20170322,1105010.1229181013
307,20170323,1103052.0222662014
308,20170324,1104398.4333457013
309,20170327,1105878.8236210013
310,20170328,1108244.5353487013
311,20170329,1110502.4330077015
312,20170330,1113537.7063436015
313,20170331,1115418.2432820015
314,20170403,1111483.4697343013
315,20170404,1113775.4430041015
316,20170405,1111614.8015504014
317,20170406,1113779.1043745014
318,20170407,1113129.6761208014
319,20170410,1111208.1925966013
320,20170411,1110568.4968596012
321,20170412,1107370.5397502014
322,20170413,1103763.0227835013
323,20170417,1110523.512297301
324,20170418,1109359.8780879015
325,20170419,1104818.8158891012
326,20170420,1110729.2088916015
327,20170421,1122383.8241901011
328,20170424,1137125.0663732016
329,20170425,1142245.7087902015
330,20170426,1141064.5052221012
331,20170427,1146758.9617669014
332,20170428,1149232.1996995013
333,20170501,1161713.9995633012
334,20170502,1160271.8764834013
335,20170503,1157373.372006101
336,20170504,1153791.7569342013
337,20170505,1156283.1071986011
