,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000000.0
3,20160107,1000137.5334002
4,20160108,1000032.918
5,20160111,999928.3498
6,20160112,999917.8758001999
7,20160113,999917.8758001999
8,20160114,999917.8758001999
9,20160115,999917.8758001999
10,20160119,999917.8758001999
11,20160120,999917.8758001999
12,20160121,999917.8758001999
13,20160122,999917.8758001999
14,20160125,1000015.3760001999
15,20160126,1000246.7677999999
16,20160127,1000356.0390998999
17,20160128,1000115.2698997
18,20160129,1000145.6154996
19,20160201,1000354.9216999
20,20160202,1000348.1159995999
21,20160203,1000569.3078
22,20160204,1000954.3827999999
23,20160205,1001643.3257999999
24,20160208,1002387.0948
25,20160209,1002275.7117997999
26,20160210,1002528.3528995999
27,20160211,1003436.9066996998
28,20160212,1003215.0015998998
29,20160216,1001767.1639997999
30,20160217,1002110.6900001
31,20160218,1003785.1407997999
32,20160219,1003276.3124996999
33,20160222,1002010.5520994999
34,20160223,1002864.0045996999
35,20160224,1003008.2825995999
36,20160225,1003089.5206994999
37,20160226,1002753.7298996999
38,20160229,1003201.0182996
39,20160301,1002841.1534996999
40,20160302,1003284.3779999999
41,20160303,1004092.5111999998
42,20160304,1003985.4371996998
43,20160307,1004333.3819995999
44,20160308,1004041.2694996999
45,20160309,1003629.2114995
46,20160310,1004577.2524992999
47,20160311,1003729.1040992999
48,20160314,1003255.1627988999
49,20160315,1003261.3749985999
50,20160316,1004038.5780986999
51,20160317,1003934.5192990998
52,20160318,1003889.5068993998
53,20160321,1003709.5260990999
54,20160322,1003802.6297991999
55,20160323,1003250.6993993999
56,20160324,1003155.0386992999
57,20160328,1003251.4040990998
58,20160329,1004319.7460992999
59,20160330,1003643.8684990997
60,20160331,1003902.1589992999
61,20160401,1003606.3953993998
62,20160404,1003204.7033993999
63,20160405,1004099.0895991998
64,20160406,1003727.3225987998
65,20160407,1004383.6281985998
66,20160408,1004317.7668984998
67,20160411,1004625.9236984998
68,20160412,1004615.9210985998
69,20160413,1004603.9160982998
70,20160414,1004603.9160982998
71,20160415,1004673.2047981998
72,20160418,1004625.4127983998
73,20160419,1004797.6391985998
74,20160420,1004785.6811983999
75,20160421,1004785.6811983999
76,20160422,1004785.6811983999
77,20160425,1004785.6811983999
78,20160426,1004820.8575980999
79,20160427,1004808.9875983999
80,20160428,1004808.9875983999
81,20160429,1004808.9875983999
82,20160502,1004808.9875983999
83,20160503,1004808.9875983999
84,20160504,1004808.9875983999
85,20160505,1004808.9875983999
86,20160506,1004808.9875983999
87,20160509,1004543.6697983999
88,20160510,1004531.6047981998
89,20160511,1004633.5067978998
90,20160512,1004429.2949975999
91,20160513,1004472.1784971999
92,20160516,1004460.0074972998
93,20160517,1004460.0074972998
94,20160518,1004460.0074972998
95,20160519,1004460.0074972998
96,20160520,1004460.0074972998
97,20160523,1004460.0074972998
98,20160524,1004241.0704969998
99,20160525,1004229.3404966998
100,20160526,1004229.3404966998
101,20160527,1004229.3404966998
102,20160531,1004229.3404966998
103,20160601,1004229.3404966998
104,20160602,1004190.7460964997
105,20160603,1004821.1788966997
106,20160606,1004813.2909969997
107,20160607,1004801.3989971997
108,20160608,1004801.3989971997
109,20160609,1004856.3407969997
110,20160610,1004844.2157969997
111,20160613,1004844.2157969997
112,20160614,1004844.9515970998
113,20160615,1004832.6745973998
114,20160616,1004832.6745973998
115,20160617,1004832.6745973998
116,20160620,1004746.2797976999
117,20160621,1004733.9587977999
118,20160622,1004733.9587977999
119,20160623,1004733.9587977999
120,20160624,1005310.9476976999
121,20160627,1005298.3476976999
122,20160628,1005298.3476976999
123,20160629,1005298.3476976999
124,20160630,1005348.7641980998
125,20160701,1005724.117798
126,20160705,1006029.2758975999
127,20160706,1006168.3278974999
128,20160707,1006008.3075978999
129,20160708,1006151.3333974
130,20160711,1005769.2780969999
131,20160712,1005328.3508977
132,20160713,1005432.6363974999
133,20160714,1005419.8043968
134,20160715,1005419.8043968
135,20160718,1005427.1208972
136,20160719,1005414.4168971
137,20160720,1005219.6958972001
138,20160721,1005207.1568973
139,20160722,1005207.1568973
140,20160725,1005207.1568973
141,20160726,1005207.1568973
142,20160727,1005207.1568973
143,20160728,1005207.1568973
144,20160729,1005326.3900969
145,20160801,1005361.4930973001
146,20160802,1005453.5713972001
147,20160803,1005440.5443968001
148,20160804,1005440.5443968001
149,20160805,1005440.5443968001
150,20160808,1005416.7892965002
151,20160809,1005404.0452963001
152,20160810,1005404.0452963001
153,20160811,1005404.0452963001
154,20160812,1005404.0452963001
155,20160815,1005404.0452963001
156,20160816,1005404.0452963001
157,20160817,1005404.0452963001
158,20160818,1005404.0452963001
159,20160819,1005404.0452963001
160,20160822,1005404.0452963001
161,20160823,1005389.2675964001
162,20160824,1005376.4915962002
163,20160825,1005376.4915962002
164,20160826,1005376.4915962002
