,date,assets
0,0,1000000.0
1,20090105,999989.0518957236
2,20090106,999988.734039685
3,20090107,999988.734039685
4,20090108,999988.734039685
5,20090109,999988.734039685
6,20090112,999988.734039685
7,20090113,999962.049673985
8,20090114,999961.2785956849
9,20090115,999987.3521771849
10,20090116,1000019.082433498
11,20090120,999929.5958032262
12,20090121,999973.5927537085
13,20090122,1000356.1955449968
14,20090123,999810.3203892402
15,20090126,999771.6492255187
16,20090127,999645.2460575643
17,20090128,999694.6964938096
18,20090129,999648.0743030268
19,20090130,999642.8860194456
20,20090202,999642.7416480009
21,20090203,999642.7416480009
22,20090204,999642.7416480009
23,20090205,999649.8819375105
24,20090206,999649.68776687
25,20090209,999649.68776687
26,20090210,999649.68776687
27,20090211,999649.2324392243
28,20090212,999657.0901968534
29,20090213,999654.9680121036
30,20090217,999654.5935693826
31,20090218,999654.5935693826
32,20090219,999654.5935693826
33,20090220,999654.5935693826
34,20090223,999649.18871267
35,20090224,999668.994437656
36,20090225,999576.3608575893
37,20090226,999589.3188924998
38,20090227,999505.5085363026
39,20090302,999336.8148111658
40,20090303,999231.3451763325
41,20090304,999226.3165661372
42,20090305,999110.9684446073
43,20090306,999165.0387472564
44,20090309,999183.0322332296
45,20090310,999314.5242996252
46,20090311,999309.6694862808
47,20090312,999388.4966691125
48,20090313,999462.0898374288
49,20090316,999354.9274638358
50,20090317,999487.7347795959
51,20090318,999513.6325896705
52,20090319,999457.2358954153
53,20090320,999354.5034965165
54,20090323,999577.7877978679
55,20090324,999506.6887425256
56,20090325,999655.9624662623
57,20090326,999837.8243130236
58,20090327,999723.185559353
59,20090330,999692.3660922623
60,20090331,999777.6624206299
61,20090401,999832.4662329839
62,20090402,1000179.6877699575
63,20090403,1000075.1937349105
64,20090406,1000345.2657624854
65,20090407,1000008.61536113
66,20090408,1000167.7437236258
67,20090409,1000428.1935823958
68,20090413,1000406.0340543363
69,20090414,1000354.1169166224
70,20090415,1000561.4754188451
71,20090416,1000248.8445612977
72,20090417,1000315.3112114948
73,20090420,1000169.5294817761
74,20090421,1000556.9694366751
75,20090422,1000512.3427952363
76,20090423,1000484.9886199734
77,20090424,1000599.9590651927
78,20090427,1000153.0972474642
79,20090428,1000195.2273580778
80,20090429,1000363.4647271641
81,20090430,1000234.6745905172
82,20090501,1000288.0225478457
83,20090504,1000498.274593898
84,20090505,1000539.627041962
85,20090506,1000574.2584162876
86,20090507,1000438.7242140665
87,20090508,1000491.4972346041
88,20090511,1000396.2001654119
89,20090512,1000378.5687470197
90,20090513,1000253.9257965573
91,20090514,1000277.9575106095
92,20090515,1000253.1665737814
93,20090518,1000339.338761625
94,20090519,1000322.0923940173
95,20090520,1000255.2472170079
96,20090521,1000164.8190441766
97,20090522,1000133.5084899673
98,20090526,1000226.9732411618
99,20090527,1000090.251914566
100,20090528,1000122.4248740763
101,20090529,1000156.8881729572
102,20090601,1000223.6295998248
103,20090602,1000284.6037802933
104,20090603,1000262.5119884833
105,20090604,1000229.4965867997
106,20090605,1000235.229751443
107,20090608,1000218.6475800296
108,20090609,1000216.2459760935
109,20090610,1000190.399547347
110,20090611,1000188.8719829876
111,20090612,1000185.1969500104
112,20090615,1000174.8947340698
113,20090616,1000169.1057336866
114,20090617,1000207.2608211586
115,20090618,1000210.9162358474
116,20090619,1000210.8525061124
117,20090622,1000186.2010630603
118,20090623,1000165.9841655121
119,20090624,1000174.0863271488
120,20090625,1000191.7963568108
121,20090626,1000190.7610971447
122,20090629,1000190.6816788155
123,20090630,1000190.6816788155
124,20090701,1000196.5401190155
125,20090702,1000170.0419296979
126,20090706,1000181.4792817399
127,20090707,1000167.6966510463
128,20090708,1000169.980256449
129,20090709,1000161.3604248449
130,20090710,1000162.9308005286
131,20090713,1000162.7901915201
132,20090714,1000164.0124501201
133,20090715,1000163.3809568201
134,20090716,1000163.0300824031
135,20090717,1000162.679207986
136,20090720,1000187.955795786
137,20090721,1000187.279856986
138,20090722,1000187.279856986
139,20090723,1000187.279856986
140,20090724,1000187.279856986
141,20090727,1000187.279856986
142,20090728,1000187.279856986
143,20090729,1000194.4841739689
144,20090730,1000202.1645369811
145,20090731,1000227.3889975096
146,20090803,1000289.1153138505
147,20090804,1000322.8178583656
148,20090805,1000339.203896806
149,20090806,1000338.7163549468
150,20090807,1000338.7163549468
151,20090810,1000338.7163549468
152,20090811,1000341.5988433468
153,20090812,1000354.8957912911
154,20090813,1000388.906753983
155,20090814,1000367.7441391209
156,20090817,1000281.8277949824
157,20090818,1000296.7766467243
158,20090819,1000224.4993550546
159,20090820,1000226.9112331086
160,20090821,1000238.3899286693
161,20090824,1000214.693087836
162,20090825,1000242.2093282235
163,20090826,1000223.4482045299
164,20090827,1000175.091428735
165,20090828,1000198.8897086183
166,20090831,1000093.4689145244
167,20090901,1000038.8923124423
168,20090902,1000066.49683703
169,20090903,1000134.1130731391
170,20090904,1000161.7000652764
171,20090908,1000172.9995573092
172,20090909,1000196.0854077489
173,20090910,1000249.1755257429
174,20090911,1000254.2063980111
175,20090914,1000284.2674802423
176,20090915,1000314.0962381428
177,20090916,1000330.4401398753
178,20090917,1000304.7706348163
179,20090918,1000299.6057162189
180,20090921,1000310.1407670917
181,20090922,1000299.9563792457
182,20090923,1000319.1185601534
183,20090924,1000300.539594883
184,20090925,1000327.708208781
185,20090928,1000361.5279553672
186,20090929,1000335.3876915334
187,20090930,1000316.125925293
188,20091001,1000185.019528654
189,20091002,1000246.8903801455
190,20091005,1000221.3656639144
191,20091006,1000229.5609771418
192,20091007,1000232.290749909
193,20091008,1000316.624176098
194,20091009,1000306.5958032337
195,20091012,1000300.551730793
196,20091013,1000302.4042937484
197,20091014,1000303.0088548565
198,20091015,1000302.9848741487
199,20091016,1000291.5797563634
200,20091019,1000291.1200147815
201,20091020,1000296.7542525815
202,20091021,1000270.5883174429
203,20091022,1000285.1688503424
204,20091023,1000265.3983428708
205,20091026,1000261.1740093571
206,20091027,1000233.6918069832
207,20091028,1000195.2744022033
208,20091029,1000191.0602234219
209,20091030,1000170.3910565495
210,20091102,1000148.5585924042
211,20091103,1000144.9509367956
212,20091104,1000114.0477942144
213,20091105,1000180.653981523
214,20091106,1000328.0909498339
215,20091109,1000533.1635140795
216,20091110,1000487.4716153758
217,20091111,1000726.8310041913
218,20091112,1000544.630930896
219,20091113,1000593.6037966922
220,20091116,1000653.1231046711
221,20091117,1000607.6411799922
222,20091118,1000574.8314390967
223,20091119,1000518.7730923818
224,20091120,1000553.6062523876
225,20091123,1000620.4970736714
226,20091124,1000527.8528836052
227,20091125,1000615.8044401434
228,20091127,1000564.1172514316
229,20091130,1000654.7933157902
230,20091201,1000705.0009416726
231,20091202,1000722.3726917704
232,20091203,1000760.2650957669
233,20091204,1001091.6421260684
234,20091207,1001042.7801611954
235,20091208,1001043.2244042445
236,20091209,1001078.0943361868
237,20091210,1001074.5574575037
238,20091211,1001247.9986894296
239,20091214,1001250.5013739045
240,20091215,1001183.7712939117
241,20091216,1001347.0965077181
242,20091217,1001387.1659236006
243,20091218,1001366.2506166607
244,20091221,1001393.3310091618
245,20091222,1001456.0661482054
246,20091223,1001520.7923369621
247,20091224,1001496.8556911545
248,20091228,1001463.4949733142
249,20091229,1001454.3296488865
250,20091230,1001436.8077607912
251,20091231,1001452.1789469183
252,20100104,1001363.8082085821
253,20100105,1001624.9488426588
254,20100106,1001500.7725666385
255,20100107,1001553.3808410652
256,20100108,1001482.8326422508
257,20100111,1001515.2242817166
258,20100112,1001486.2490574672
259,20100113,1001510.6955674355
260,20100114,1001497.7410797107
261,20100115,1001461.371824364
262,20100119,1001465.0290285654
263,20100120,1001472.4374615935
264,20100121,1001598.1523932904
265,20100122,1001597.454654201
266,20100125,1001516.9543436292
267,20100126,1001595.1077897118
268,20100127,1001532.0762455651
269,20100128,1001547.9295956498
270,20100129,1001515.6143805489
271,20100201,1001581.2727319858
272,20100202,1001575.8186568667
273,20100203,1001549.2476639515
274,20100204,1001445.1467684748
275,20100205,1001529.1279438883
276,20100208,1001518.7116805724
277,20100209,1001630.6856822263
278,20100210,1001600.0934534196
279,20100211,1001724.9752817651
280,20100212,1001775.906762578
281,20100216,1001937.8338344801
282,20100217,1001858.304062974
283,20100218,1001938.4932908367
284,20100219,1001931.0296197685
285,20100222,1001975.6813909037
286,20100223,1001914.1133054075
287,20100224,1001933.7459048306
288,20100225,1001928.4747318685
289,20100226,1002002.7818458196
290,20100301,1002077.2011946472
291,20100302,1002037.4990316815
292,20100303,1001987.403132264
293,20100304,1002013.7340240864
294,20100305,1002060.769981935
295,20100308,1001970.028441254
296,20100309,1002067.4051731955
297,20100310,1002165.8218620848
298,20100311,1002176.9252986823
299,20100312,1002263.6549227638
300,20100315,1002262.4493895639
301,20100316,1002332.3322660249
302,20100317,1002275.8936493901
303,20100318,1002286.9043730276
304,20100319,1002202.7210525235
305,20100322,1002241.5875852967
306,20100323,1002280.1625081935
307,20100324,1002269.3836740182
308,20100325,1002295.0883817875
309,20100326,1002287.1276913586
310,20100329,1002332.7250806985
311,20100330,1002291.2764735162
312,20100331,1002340.9456500619
313,20100401,1002335.9031311069
314,20100405,1002313.6606638811
315,20100406,1002439.369239243
316,20100407,1002386.9450918344
317,20100408,1002417.9578393949
318,20100409,1002382.910744317
319,20100412,1002396.9788407941
320,20100413,1002393.718776018
321,20100414,1002439.676789399
322,20100415,1002451.3010278026
323,20100416,1002388.5336036962
324,20100419,1002556.3656070468
325,20100420,1002549.6014285774
326,20100421,1002466.6578321182
327,20100422,1002406.2126837721
328,20100423,1002598.7850020211
329,20100426,1002416.38051011
330,20100427,1002245.1616803288
331,20100428,1002270.4809030121
332,20100429,1002386.6330888777
333,20100430,1002259.4815360679
334,20100503,1002394.0755322324
335,20100504,1002188.2368844425
336,20100505,1002197.1242343705
337,20100506,1001955.5634552713
338,20100507,1001849.1271756857
339,20100510,1002128.9855017512
340,20100511,1002069.2694085595
341,20100512,1002216.1687387917
342,20100513,1002065.9407986057
343,20100514,1001988.8483029079
344,20100517,1002053.3595342056
345,20100518,1001926.0402957936
346,20100519,1001732.8024837659
347,20100520,1001420.3591717568
348,20100521,1001548.888832015
349,20100524,1001515.5535431005
350,20100525,1001702.9934416693
351,20100526,1001799.7919223777
352,20100527,1002034.0135357745
353,20100528,1001876.4422099016
354,20100601,1001669.3504876655
355,20100602,1002050.329643084
356,20100603,1002040.9972291192
357,20100604,1001613.2190277309
358,20100607,1001332.0021227561
359,20100608,1001507.2927782758
360,20100609,1001471.1492360542
361,20100610,1001630.3104630826
362,20100611,1001642.5528744137
363,20100614,1001623.035743784
364,20100615,1001843.4370445297
365,20100616,1001680.6224473313
366,20100617,1001879.593471367
367,20100618,1001791.6408456388
368,20100621,1001745.7318706964
369,20100622,1001514.4566765252
370,20100623,1001489.6142961754
371,20100624,1001358.800769239
372,20100625,1001324.114043009
373,20100628,1001299.4330321556
374,20100629,1000918.8123360423
375,20100630,1000917.7816396423
376,20100701,1000820.5205563597
377,20100702,1000648.2981773067
378,20100706,1000557.5279017786
379,20100707,1000992.2206682212
380,20100708,1001079.0388380658
381,20100709,1001192.4307603895
382,20100712,1001366.082621146
383,20100713,1001542.3234542056
384,20100714,1001508.2684983549
385,20100715,1001481.2662398376
386,20100716,1001267.9861205671
387,20100719,1001053.3314107701
388,20100720,1001027.4784588349
389,20100721,1000934.4048435577
390,20100722,1001198.8794059531
391,20100723,1001293.603999857
392,20100726,1001457.48994302
393,20100727,1001403.731791032
394,20100728,1001409.209177366
395,20100729,1001408.094986666
396,20100730,1001433.3497893412
397,20100802,1001618.507512953
398,20100803,1001468.0993530481
399,20100804,1001519.0082482831
400,20100805,1001457.8779771654
401,20100806,1001389.7244542211
402,20100809,1001521.2714723973
403,20100810,1001337.5784079947
404,20100811,1000993.014229268
405,20100812,1000992.6899183269
406,20100813,1000969.5542915327
407,20100816,1000917.7679568932
408,20100817,1001057.3946204513
409,20100818,1001095.028842517
410,20100819,1000734.9105460731
411,20100820,1000808.8905709776
412,20100823,1000559.3727381789
413,20100824,1000517.69201663
414,20100825,1000440.5866857886
415,20100826,1000313.5495277812
416,20100827,1000624.8983075551
417,20100830,1000480.8445506288
418,20100831,1000547.0321968892
419,20100901,1001091.8042898299
420,20100902,1001129.6656986644
421,20100903,1001182.04900321
422,20100907,1001005.7962213404
423,20100908,1001097.2779761433
424,20100909,1001059.5963238772
425,20100910,1001111.0642070603
426,20100913,1001058.811421632
427,20100914,1001085.0580523874
428,20100915,1001474.0547990929
429,20100916,1001681.5295065362
430,20100917,1001508.323646943
431,20100920,1002027.90609277
432,20100921,1002010.6916151867
433,20100922,1001876.5073684106
434,20100923,1001514.1466627263
435,20100924,1002244.165608283
436,20100927,1004249.36591615
437,20100928,1004043.3821061108
438,20100929,1003953.1887973689
439,20100930,1003738.8459892387
440,20101001,1003517.5899687461
441,20101004,1003317.9129969287
442,20101005,1003644.7863812653
443,20101006,1003507.9957654022
444,20101007,1003406.9296241024
445,20101008,1003684.5930632445
446,20101011,1003357.3160389954
447,20101012,1003595.7035348341
448,20101013,1003556.3508539554
449,20101014,1003349.8712589806
450,20101015,1003525.5025555467
451,20101018,1003668.3128976666
452,20101019,1003004.9251306693
453,20101020,1003991.2850366151
454,20101021,1004999.2851463234
455,20101022,1004678.6790976889
456,20101025,1004829.2529888281
457,20101026,1004894.1448336602
458,20101027,1005322.4958525711
459,20101028,1005322.27957878
460,20101029,1005321.0024591801
461,20101101,1005552.064274545
462,20101102,1005981.7970052786
463,20101103,1006044.1880007762
464,20101104,1006308.0697403218
465,20101105,1006205.4904215677
466,20101108,1006354.0580255172
467,20101109,1005643.4313955383
468,20101110,1005103.1619332427
469,20101111,1005101.8913105427
470,20101112,1004790.2065344383
471,20101115,1004666.9433996638
472,20101116,1004170.716341575
473,20101117,1004193.9578481473
474,20101118,1004792.2161299746
475,20101119,1004815.8490948823
476,20101122,1004986.7204046118
477,20101123,1004450.4705998724
478,20101124,1005283.9813836957
479,20101126,1004705.7866032379
480,20101129,1004756.9636695228
481,20101130,1004139.8708585593
482,20101201,1004411.0209564588
483,20101202,1004042.4311399673
484,20101203,1003831.178631058
485,20101206,1003312.6159410366
486,20101207,1003158.5569604767
487,20101208,1002792.5662253845
488,20101209,1002877.4778715083
489,20101210,1003017.3062362177
490,20101213,1002842.80778398
491,20101214,1002959.6804633171
492,20101215,1002137.973124702
493,20101216,1002257.8971648623
494,20101217,1003125.1856359688
495,20101220,1003154.8354509714
496,20101221,1003632.3805224095
497,20101222,1003600.3204772111
498,20101223,1003136.064909852
499,20101227,1003294.2097696505
500,20101228,1003581.5555457865
501,20101229,1003518.3285712282
502,20101230,1003238.3623258204
503,20101231,1003269.171628433
504,20110103,1004077.2429976503
505,20110104,1004327.1353563949
506,20110105,1004293.7238847609
507,20110106,1003797.434325517
508,20110107,1004235.1282710889
509,20110110,1004268.8048541925
510,20110111,1003464.7015929329
511,20110112,1003783.1638216468
512,20110113,1003538.3100547048
513,20110114,1004074.0211442283
514,20110118,1003511.8020719773
515,20110119,1002656.7924754602
516,20110120,1002520.903871927
517,20110121,1001754.478662984
518,20110124,1002422.3775398544
519,20110125,1001482.4261378814
520,20110126,1001339.7079683002
521,20110127,1001447.7974750419
522,20110128,999434.0818419019
523,20110131,999137.9659692594
524,20110201,999136.8657009593
525,20110202,998082.6448149413
526,20110203,998504.960638457
527,20110204,998659.2483493121
528,20110207,999828.3984518163
529,20110208,1000453.7832504327
530,20110209,1000801.0314797006
531,20110210,1000953.4066205194
532,20110211,1001250.5900908208
533,20110214,1000521.5985650332
534,20110215,1001171.8193417136
535,20110216,1001207.7480399102
536,20110217,1001659.9865745044
537,20110218,1001927.2128071232
538,20110222,999329.0024128987
539,20110223,998621.2283778908
540,20110224,998884.6675826157
541,20110225,998993.9449348061
542,20110228,999143.7179730451
543,20110301,998707.0409500933
544,20110302,998168.4956531052
545,20110303,998970.1523205703
546,20110304,999046.8180852727
547,20110307,998932.9319094277
548,20110308,1002218.7873877585
549,20110309,1000957.6291015707
550,20110310,1001645.4364503229
551,20110311,1002461.4362942511
552,20110314,1001281.6549998082
553,20110315,1001205.2160045773
554,20110316,999825.5799406639
555,20110317,999173.8284552427
556,20110318,1000547.0291921318
557,20110321,1000862.8722521487
558,20110322,1001016.0951865908
559,20110323,1001404.6113430778
560,20110324,1001881.2717066279
561,20110325,1002442.0234854725
562,20110328,1002043.9987504066
563,20110329,1001758.0010118335
564,20110330,1003005.4409290561
565,20110331,1002263.9473970437
566,20110401,1002426.0745586368
567,20110404,1001590.034985335
568,20110405,1000543.3553439294
569,20110406,1000336.6486815929
570,20110407,998863.8258909784
571,20110408,998346.9773622481
572,20110411,998777.0583543861
573,20110412,999039.6300095391
574,20110413,998634.6877329857
575,20110414,997946.6049833595
576,20110415,998085.7134196319
577,20110418,997712.7756844867
578,20110419,997803.0218763341
579,20110420,998076.1329885391
580,20110421,996588.0576587924
581,20110425,997534.9408476886
582,20110426,998323.8507833858
583,20110427,998732.6224125223
584,20110428,998916.7218503178
585,20110429,998633.8053475289
586,20110502,997961.6647042499
587,20110503,997618.5751453335
588,20110504,998115.396703956
589,20110505,999466.9335993163
590,20110506,1000484.9198281562
591,20110509,999919.4258364751
592,20110510,1000431.129905298
593,20110511,1000636.1043806016
594,20110512,1000635.9236240197
595,20110513,1000270.4578953832
596,20110516,1000632.2091220149
597,20110517,1001041.9795363473
598,20110518,1001300.0787138446
599,20110519,1001983.5603828317
600,20110520,1001309.8627458446
601,20110523,1000648.2637233791
602,20110524,999795.0349275372
603,20110525,999154.1337657686
604,20110526,998911.5859902895
605,20110527,999102.4297059285
606,20110531,999101.8317196824
607,20110601,997932.6613765587
608,20110602,997833.3570041443
609,20110603,997783.9535590861
610,20110606,996221.7123787162
611,20110607,996758.7123724079
612,20110608,995496.944369498
613,20110609,995347.5767828469
614,20110610,994742.0945704975
615,20110613,994741.0788558975
616,20110614,995546.0379321316
617,20110615,993911.4247122778
618,20110616,993910.9323315449
619,20110617,994782.1836170704
620,20110620,995296.1867103024
621,20110621,995915.2648403081
622,20110622,995186.5551934007
623,20110623,997246.1261701835
624,20110624,996984.6840157404
625,20110627,997142.7486877239
626,20110628,997357.3832978996
627,20110629,997140.727713605
628,20110630,997301.4227291069
629,20110701,998502.4423637274
630,20110705,997116.1816739284
631,20110706,997453.1854041552
632,20110707,998349.7937110336
633,20110708,997037.9910590249
634,20110711,995067.7559008397
635,20110712,994305.718252091
636,20110713,994128.3060889626
637,20110714,993350.7658482462
