,date,assets
0,0,1000000.0
1,20160105,1000000.0
2,20160106,1000000.0
3,20160107,999909.900209
4,20160108,999955.5832229999
5,20160111,999902.8124910999
6,20160112,1000021.1143049
7,20160113,999363.3993591
8,20160114,999386.2982921001
9,20160115,999047.9619352
10,20160119,998979.1774721
11,20160120,998889.388655
12,20160121,998962.0827061
13,20160122,998814.9683447999
14,20160125,998658.3430633999
15,20160126,998670.9383311999
16,20160127,998667.2716532999
17,20160128,998558.5903817
18,20160129,998828.4390278999
19,20160201,998890.7807205999
20,20160202,998887.1197765999
21,20160203,998918.9915645999
22,20160204,999051.1674957
23,20160205,998869.8360786
24,20160208,998866.4255046
25,20160209,998913.753824
26,20160210,998965.8114972
27,20160211,998943.3035573001
28,20160212,998939.9264291001
29,20160216,999016.7355966001
30,20160217,999286.4953918001
31,20160218,999423.2903354
32,20160219,999538.061854
33,20160222,1000255.784348
34,20160223,1000351.2671462
35,20160224,1000481.1269985001
36,20160225,1001182.4121937001
37,20160226,1000897.3986493001
38,20160229,1000725.1800397001
39,20160301,1001259.6700537
40,20160302,1000826.7158345
41,20160303,1000900.2475260001
42,20160304,1000388.8429012
43,20160307,1000363.8050145002
44,20160308,1000465.1390428001
45,20160309,1001229.8859406001
46,20160310,1001156.905354
47,20160311,1002484.4978115001
48,20160314,1003137.0701353
49,20160315,1002845.6806505
50,20160316,1003551.843812
51,20160317,1002863.1269350001
52,20160318,1004065.1804111
53,20160321,1004764.5553281
54,20160322,1004250.9549360999
55,20160323,1004022.6709222
56,20160324,1003593.3571401
57,20160328,1003325.8794797
58,20160329,1004275.183852
59,20160330,1004628.9526661
60,20160331,1004417.8518309001
61,20160401,1004160.8369286
62,20160404,1003639.6183014001
63,20160405,1003038.0221536001
64,20160406,1003087.4485576001
65,20160407,1003054.5594328002
66,20160408,1004189.5901219002
67,20160411,1003998.6595389001
68,20160412,1004423.2935006001
69,20160413,1006355.6624572001
70,20160414,1007683.8676936001
71,20160415,1008216.4702429002
72,20160418,1008303.8613996002
73,20160419,1008342.4324129001
74,20160420,1008215.3877542003
75,20160421,1009317.5393538002
76,20160422,1008577.7652560002
77,20160425,1007922.2456085002
78,20160426,1006891.5157549003
79,20160427,1005894.3543416003
80,20160428,1003577.0894248004
81,20160429,1004362.6739644003
82,20160502,1003554.2503505003
83,20160503,1002300.7321761003
84,20160504,1000313.0262887003
85,20160505,1000147.2530853002
86,20160506,1000411.3199269003
87,20160509,1000979.8099226003
88,20160510,1001860.3413810002
89,20160511,1000935.2932558003
90,20160512,999738.4437726003
91,20160513,1000222.7251907003
92,20160516,1001245.0041603002
93,20160517,1001192.1169888002
94,20160518,1002394.3146905003
95,20160519,1001062.4098790003
96,20160520,1001096.6568516002
97,20160523,1001132.8392100002
98,20160524,1002371.3935531002
99,20160525,1001772.7922146001
100,20160526,1000210.2055241
101,20160527,1001291.7977752
102,20160531,1001603.6654314001
103,20160601,1001720.2416276
104,20160602,1000936.9005789
105,20160603,999875.9606515
106,20160606,1000286.5479764
107,20160607,1003401.2946272
108,20160608,1004470.0333278
109,20160609,1006253.6369641001
110,20160610,1004852.1979864
111,20160613,1001321.3811471
112,20160614,995628.6939729999
113,20160615,995780.3005927999
114,20160616,995346.5726557999
115,20160617,995231.4416721999
116,20160620,995979.9657269999
117,20160621,997271.6312125999
118,20160622,996619.0506165
119,20160623,994879.2059700999
120,20160624,991436.1304192998
121,20160627,987416.4227997998
122,20160628,989084.5496221998
123,20160629,992863.8062501998
124,20160630,993719.8954726999
125,20160701,994801.4519872998
126,20160705,993749.7574770999
127,20160706,993538.7238916999
128,20160707,995331.366083
129,20160708,997115.3280820999
130,20160711,998358.9411668999
131,20160712,1003018.7830707998
132,20160713,1001832.4056420998
133,20160714,1003971.1903371997
134,20160715,1003940.2040407998
135,20160718,1003987.8618030996
136,20160719,1002747.7253468997
137,20160720,1000955.8397332996
138,20160721,989200.2692339995
139,20160722,990518.0652168996
140,20160725,989251.5705598997
141,20160726,991631.6831051996
142,20160727,989478.4608653997
143,20160728,989448.9684951997
144,20160729,988209.3715840997
145,20160801,988289.3110158998
146,20160802,984255.3413686998
147,20160803,985132.8625648998
148,20160804,986476.6978339998
149,20160805,990178.3399846996
150,20160808,989099.9390080996
151,20160809,989122.2382160997
152,20160810,987855.7874650997
153,20160811,988547.9565160996
154,20160812,986471.6048767996
155,20160815,987539.0356300997
156,20160816,986734.9237370996
157,20160817,987715.7805619997
158,20160818,987683.3627329996
159,20160819,986218.1430663996
160,20160822,985999.1413505996
161,20160823,987297.5399692996
162,20160824,987195.8515367996
163,20160825,987293.3689912995
164,20160826,985834.9597587995
165,20160829,986472.3060395995
166,20160830,989138.0213004996
167,20160831,988066.3943186995
168,20160901,987002.4594030995
169,20160902,988067.0175923995
170,20160906,988282.8305146995
