,date,assets
0,0,1000000.0
1,20090105,999978.5940285836
2,20090106,999977.9725495492
3,20090107,999964.0682673177
4,20090108,999963.473902356
5,20090109,999953.6869335873
6,20090112,999953.4960938802
7,20090113,999929.710468872
8,20090114,999903.0935955446
9,20090115,999936.9176654569
10,20090116,1000000.8194193392
11,20090120,999871.978373005
12,20090121,999952.707214044
13,20090122,1000303.9264054279
14,20090123,999965.8420738537
15,20090126,999944.0747180037
16,20090127,999878.0248842341
17,20090128,999897.5203650404
18,20090129,999888.2565763877
19,20090130,999886.9859333086
20,20090202,999886.9491869919
21,20090203,999887.2670735202
22,20090204,999887.2327960171
23,20090205,999901.3137900908
24,20090206,999965.810484232
25,20090209,999948.0743980524
26,20090210,999948.0340517536
27,20090211,999947.4863439804
28,20090212,999960.7784486332
29,20090213,999956.3134483111
30,20090217,999886.736841703
31,20090218,999822.282315696
32,20090219,999818.8370896281
33,20090220,999760.4156342323
34,20090223,999740.8928593468
35,20090224,999768.3155638978
36,20090225,999628.2070952092
37,20090226,999639.5375112996
38,20090227,999564.2550507053
39,20090302,999421.7860809161
40,20090303,999326.8886445527
41,20090304,999323.212551815
42,20090305,999260.2416779867
43,20090306,999284.4946038174
44,20090309,999293.7592907589
45,20090310,999380.1838582192
46,20090311,999376.7345050249
47,20090312,999435.2061904225
48,20090313,999491.1930120331
49,20090316,999407.222655773
50,20090317,999523.1323820234
51,20090318,999543.3127565358
52,20090319,999506.4769263105
53,20090320,999435.967521723
54,20090323,999628.6418903874
55,20090324,999570.5156217719
56,20090325,999696.4030520299
57,20090326,999878.0878057831
58,20090327,999760.4148701481
59,20090330,999722.2861075274
60,20090331,999812.2005982881
61,20090401,999867.8737670331
62,20090402,1000247.235250548
63,20090403,1000144.5311092798
64,20090406,1000391.7731496608
65,20090407,1000043.1364519097
66,20090408,1000186.5298128324
67,20090409,1000399.0460980105
68,20090413,1000382.159179619
69,20090414,1000329.352938477
70,20090415,1000603.990197053
71,20090416,1000197.5760099223
72,20090417,1000265.4463077228
73,20090420,1000152.4767105298
74,20090421,1000507.2980333868
75,20090422,1000462.4095924681
76,20090423,1000428.3793212413
77,20090424,1000575.8526187486
78,20090427,999983.3834544227
79,20090428,1000041.6370370671
80,20090429,1000272.2069749061
81,20090430,1000047.7191575395
82,20090501,1000135.8669980465
83,20090504,1000460.771579482
84,20090505,1000535.9609624322
85,20090506,1000616.7646376253
86,20090507,1000239.3830171982
87,20090508,1000426.3072293538
88,20090511,1000171.0177910998
89,20090512,1000129.356603802
90,20090513,999807.2748482031
91,20090514,999879.4866046308
92,20090515,999794.4881428339
93,20090518,1000116.1835533096
94,20090519,1000055.8612166361
95,20090520,999839.186847605
96,20090521,999577.6507038162
97,20090522,999479.3875854063
98,20090526,999839.9115098774
99,20090527,999306.1439084631
100,20090528,999427.1048358835
101,20090529,999553.9767977729
102,20090601,999821.275258824
103,20090602,1000112.0344967061
104,20090603,999977.4189561222
105,20090604,999757.903329282
106,20090605,999816.8700196261
107,20090608,999694.0887387071
108,20090609,999675.3518712028
109,20090610,999370.8748598979
110,20090611,999352.1686888041
111,20090612,999298.66137102
112,20090615,999063.1333890575
113,20090616,998976.6656154976
114,20090617,999319.9715595385
115,20090618,999356.6975987926
116,20090619,999356.2165934202
117,20090622,998796.7707923776
118,20090623,998574.333567138
119,20090624,998699.9959378121
120,20090625,999380.044407321
121,20090626,999242.141687788
122,20090629,999498.2959194996
123,20090630,999643.1066138862
124,20090701,999818.6331475629
125,20090702,999065.9479648471
126,20090706,999323.2917483369
127,20090707,999017.6005619621
128,20090708,999351.3804960451
129,20090709,999078.3955245754
130,20090710,999298.7490501552
131,20090713,999811.7782972916
132,20090714,999859.7562284773
133,20090715,1000459.8548242021
134,20090716,1000459.2001822022
135,20090717,1000337.7383261912
136,20090720,1000988.3876773695
137,20090721,999965.6041973482
138,20090722,1000083.8038950171
139,20090723,1000585.5128335006
140,20090724,1001366.0240480892
141,20090727,1001291.2854893707
142,20090728,1001522.2391706981
143,20090729,1001933.1475859171
144,20090730,1002091.0148090255
145,20090731,1002411.927831485
146,20090803,1003778.510122732
147,20090804,1004775.7300228549
148,20090805,1005605.5997841463
149,20090806,1005930.9111279001
