,date,assets
0,0,1000000.0
1,20160105,1000043.7716592
2,20160106,1000114.251737
3,20160107,999852.1419459999
4,20160108,999947.5167599999
5,20160111,999862.2546280999
6,20160112,1000225.1948418999
7,20160113,998695.9646960999
8,20160114,998745.6232290999
9,20160115,998139.7116721999
10,20160119,997973.4512090998
11,20160120,997654.3167919999
12,20160121,997879.9100430998
13,20160122,997254.9966817998
14,20160125,996180.9810003997
15,20160126,996421.0160681998
16,20160127,994766.0485902997
17,20160128,992975.4825186997
18,20160129,995431.7871648996
19,20160201,996680.9894575997
20,20160202,993160.6885135997
21,20160203,993899.6983015997
22,20160204,995388.8382326998
23,20160205,991297.1586155999
24,20160208,989069.1064415998
25,20160209,990331.9435609998
26,20160210,991049.1156341998
27,20160211,990529.7034942999
28,20160212,992934.4467660999
29,20160216,995258.8803335999
30,20160217,999354.8849287999
31,20160218,1000802.7798723999
32,20160219,1001747.0401909999
33,20160222,1006505.0450849999
34,20160223,1007345.9048831998
35,20160224,1008278.4777354999
36,20160225,1012505.9509306999
37,20160226,1011016.8933862998
38,20160229,1010213.9667766999
39,20160301,1012543.4527906998
40,20160302,1010394.9561714998
41,20160303,1010744.2094629998
42,20160304,1008609.1856381998
43,20160307,1008522.8677514999
44,20160308,1008982.2387797998
45,20160309,1012123.0552775998
46,20160310,1011854.7752909999
47,20160311,1016665.1135484999
48,20160314,1018912.5782722998
49,20160315,1017970.2145874997
50,20160316,1020502.9637489998
51,20160317,1017813.4290719999
52,20160318,1022289.5283480997
53,20160321,1024771.4452650996
54,20160322,1022802.7208730995
55,20160323,1021850.7012591995
56,20160324,1019862.8326770996
57,20160328,1018494.4508166995
58,20160329,1023098.8323889996
59,20160330,1025014.9676030996
60,20160331,1023976.6875678997
61,20160401,1022570.9176655996
62,20160404,1019895.7290383998
63,20160405,1016996.5428905997
64,20160406,1017237.4092945998
65,20160407,1017108.8251697998
66,20160408,1022475.2050588998
67,20160411,1021637.1500758998
68,20160412,1023455.6492375998
69,20160413,1031311.8685941998
70,20160414,1037137.5772305997
71,20160415,1039376.1801798998
72,20160418,1039785.2017365997
73,20160419,1039990.3487498998
74,20160420,1039419.1226911999
75,20160421,1044296.9234907998
76,20160422,1040800.1313929998
77,20160425,1037846.9777454998
78,20160426,1032839.5492918998
79,20160427,1028221.8048785997
80,20160428,1016652.9303617997
81,20160429,1020913.6459013997
82,20160502,1016199.3362874996
83,20160503,1009282.3021130996
84,20160504,997376.7162256996
85,20160505,996314.9030222996
86,20160506,997957.4746638996
87,20160509,1001784.7248595995
88,20160510,1007340.8427179996
89,20160511,1001031.8025927995
90,20160512,993359.6543095997
91,20160513,996317.6217276996
92,20160516,1002214.6242972995
