,date,assets
0,0,1000000.0
1,20160105,996687.45
2,20160106,984728.1499999999
3,20160107,977924.7999999999
4,20160108,973073.7
5,20160111,946023.7999999999
6,20160112,941179.2999999999
7,20160113,935535.6
8,20160114,944692.7
9,20160115,907748.6499999999
10,20160119,880208.7
11,20160120,854871.4999999999
12,20160121,886636.5999999999
13,20160122,968499.0499999998
14,20160125,874655.2
15,20160126,930118.0499999999
16,20160127,961277.2
17,20160128,1043684.3999999999
18,20160129,1037336.75
19,20160201,918539.45
20,20160202,839498.4
21,20160203,978061.3
22,20160204,934017.6
23,20160205,890340.837
24,20160208,836826.087
25,20160209,750587.337
26,20160210,721677.437
27,20160211,731720.887
28,20160212,776607.387
29,20160216,759780.287
30,20160217,837819.937
31,20160218,815444.312
32,20160219,798335.812
33,20160222,859735.112
34,20160223,791408.662
35,20160224,814830.412
36,20160225,844670.1120000001
37,20160226,841281.412
38,20160229,883923.8620000001
39,20160301,906224.312
40,20160302,923255.762
41,20160303,923215.2390000001
42,20160304,999925.8890000001
43,20160307,1093292.5350000001
44,20160308,1005097.385
45,20160309,1100684.385
46,20160310,1077271.085
47,20160311,1108358.885
48,20160314,1047775.285
49,20160315,1005472.535
50,20160316,1098883.6856782304
51,20160317,1178898.4362275468
52,20160318,1163977.5861207352
53,20160321,1188389.436288582
54,20160322,1176654.1862046586
55,20160323,1083193.4855637895
56,20160324,1070400.9854722368
57,20160328,1063681.0854264603
58,20160329,1017967.4850983964
59,20160330,1002354.0349915848
60,20160331,998061.2849610673
61,20160401,922400.7344422685
62,20160404,873507.5840913163
63,20160405,883476.7341599809
64,20160406,977883.30280085
65,20160407,957433.8026558915
66,20160408,1064171.253380684
67,20160411,1110305.9537087479
68,20160412,1188832.9877428056
69,20160413,1160895.0375444414
70,20160414,1151863.387483406
71,20160415,1103549.6371400834
72,20160418,1091153.13705616
73,20160419,1145802.1874452592
74,20160420,1210856.187887764
75,20160421,1199004.7878038408
76,20160422,1206808.9378572465
77,20160425,1171362.7376054765
78,20160426,1224068.187964058
79,20160427,1294798.7884675981
80,20160428,1307083.6655515213
81,20160429,1322033.4156583329
82,20160502,1261441.6442463456
83,20160503,1198196.3937962113
84,20160504,1203748.0938343583
85,20160505,1224043.543979317
86,20160506,1241925.0441013873
87,20160509,1176538.7436359941
88,20160510,1249351.4941319048
89,20160511,1324265.9946659624
90,20160512,1348868.994833809
91,20160513,1332743.894719368
92,20160516,1423485.5453373492
93,20160517,1458765.145589119
94,20160518,1410497.0952610553
95,20160519,1426499.195375496
96,20160520,1414110.6817915728
97,20160523,1396919.5816695024
98,20160524,1434954.2819289018
99,20160525,1481992.2822645952
100,20160526,1462905.0681348955
101,20160527,1469253.7181806718
102,20160531,1442332.0679975664
103,20160601,1456164.6180967486
104,20160602,1440448.8199899371
105,20160603,1430772.4199212724
106,20160606,1482136.4702722246
107,20160607,1525858.2205850298
108,20160608,1578290.2869436115
109,20160609,1535539.6366384355
110,20160610,1441642.9859975665
111,20160613,1417037.5358220905
112,20160614,1406921.2357534259
113,20160615,1352441.3853643266
114,20160616,1270840.084807381
115,20160617,1383885.4356160967
116,20160620,1440765.605505196
117,20160621,1442834.1055204547
118,20160622,1412624.005314461
119,20160623,1459486.7556501543
120,20160624,1323454.9227193682
121,20160627,1278686.5723989336
122,20160628,1341041.3228261797
123,20160629,1409109.273314461
124,20160630,1361166.787986397
125,20160701,1400455.1882686848
126,20160705,1266954.1258531574
127,20160706,1294509.1760515217
128,20160707,1178908.0902580647
129,20160708,1180977.0402733234
130,20160711,1144277.9215215533
131,20160712,1254518.4223150103
132,20160713,1159350.8246588823
133,20160714,1181474.4248190997
134,20160715,1205732.0439869463
135,20160718,1172972.493750435
136,20160719,1147504.4935749592
137,20160720,1148507.6435825885
138,20160721,1099835.7432468953
139,20160722,1085016.0431400836
140,20160725,1026402.0427357258
141,20160726,1014750.6926518024
142,20160727,980449.8924152912
143,20160728,937150.642102486
144,20160729,952578.4422092976
145,20160801,890290.5417591633
146,20160802,873675.5916447223
147,20160803,934826.3920872272
